,,,,,Plot Type,Plot 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Area (in ha),Crop Details,,,,,,,Harvesting Month,,,,Available / starting sowing date,,,,,CN - Soil Type 1,,,,Crop Details,,,,,CN - Soil Type 2,,,,,,,
,,Irrigated Area,Rainfed Area,Primary Crops,,Sowing Month,Week,Area (ha),Harvesting Month,Day,Day in Month,Harvesting Week,,,,,Soil Type,Crop Type,Crop Sown Type,HSC,CN Number Soil type 1,Growth Days,Min RD,Max RD ,RAW (p),Soil Type 2,HSC,CN Number Soil type 2,Actual CN 2,Soil 1 Fallow CN 2,Soil 2 Fallow CN 2,Actual Fallow CN 2,starting day,
Net Crop Sown Area,4708,1600,280,Crop 1,Tobacco,Sep,Week_1,1880,Jan,7,7,Week_1,,,,,Clay,Row Crops,Straight Row,Good,89,130,0.05,0.8,0.4,Clayey Loam,Good,85,87.8,92.75,90,91.925,244,244
Fallow,350,,,Crop 2,No Crop,,,0,NA,NA,NA,NA,14,14,Week_2,Jan,Clay,NA,NA,Good,0,0,0,0,0,Clayey Loam,Good,0,0,92.75,90,91.925,0,
Builtup,468,,,Crop 3,No Crop,,,0,NA,NA,NA,NA,NA,NA,Week_2,Jan,Clay,NA,NA,Good,0,0,0,0,0,Clayey Loam,Good,0,0,92.75,90,91.925,0,
Water bodies,350,0,1150,Crop 4,Pulses,Nov,Week_2,1150,Jan,5,5,Week_1,,,,,Clay,Closed Seed or Broadcast legumes,Contoured,Good,83,60,0.05,1.2,0.5,Clayey Loam,Good,78,81.5,92.75,90,91.925,312,312
Pasture,425,,,Crop 5,No Crop,,,0,NA,NA,NA,NA,12,12,Week_2,Jan,Clay,NA,NA,Good,0,0,0,0,0,Clayey Loam,Good,0,0,92.75,90,91.925,0,
Forest,426,,,Crop 6,No Crop,,,0,NA,NA,NA,NA,NA,NA,Week_2,Jan,Clay,NA,NA,Good,0,0,0,0,0,Clayey Loam,Good,0,0,92.75,90,91.925,0,
,,712,0,Crop 7,Chilly,Aug,Week_1,712,Feb,56,25,Week_4,,,,,Clay,Small Grains,Straight Rows,Good,0,210,0.05,1,0.55,Clayey Loam,Good,0,0,92.75,90,91.925,213,213
,,,,Crop 8,No Crop,,,0,NA,NA,NA,NA,63,4,Week_1,Mar,Clay,NA,NA,Good,0,0,0,0,0,Clayey Loam,Good,0,0,92.75,90,91.925,0,
,,,,Crop 9,No Crop,,,0,NA,NA,NA,NA,NA,NA,Week_1,Mar,Clay,NA,NA,Good,0,0,0,0,0,Clayey Loam,Good,0,0,92.75,90,91.925,0,
Total Area,6727,,,,,Total,,3742,,,,,,,,,,,,,,,,,,,,,,,CN 2,91.925,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CN 1,83.31,,
Soil Details,,,,Irrigation Details,,,,,,,,,,,,,,,,,,,,,,,,,,,CN 3,96.38,,
Soil Type,Clay,Clayey Loam,,Irrigation Source,Area (ha),Pumping Depth (m),Volume (cu.m),Irrigation efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution of Soil (in %),70,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soil Depth,1,1,30,Groundwater,1412.40,15,,0.5,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Ground Water Recharge Co-efficient,0.13,,70,Surface water,3295.60,10,,0.5,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Ground water Yield (l/s),20,,,Total Area,4708.00,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,
HSC,Good,Good,,,100%,,,,,,,Pumps,depth,hp,hrs,,,,,,,,,,,,,,,,,,,
Domestic Details,,,,Aquifer depth,6,,Starting level,0,starting storage (residual),0,,2500,25,2,15,,,,,,,,,,,,,,,,,,,
Population,11200,,,Specific yield,2,,Storage limit,8072400,,,,,82,,450,,,,,,,,,,,,,,,,,,,
Domestic Water use (liters/day/person),120,,,,Master_Sheet,,,,,,,Tota Pumped (cu.m),308047,,,,,,,,,,,,,,,,,,,,,
Ground Water dependent (in %),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Water dependent (in %),40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemishphere,Northern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formation,Recommended Value (%),Min Value (%),Max Value (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alluvial Areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Alluvium,16.0%,12.0%,20.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silty alluvium,10.0%,8.0%,12.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clayey Alluvium,6.0%,4.0%,8.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average for Alluvial area,10.7%,8.0%,13.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard Rock Areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weathered Granite, Gnesis & schist with low clay content",3.0%,2.0%,4.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weathered Granite, Gnesis & schist with high cly content",1.5%,1.0%,2.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weathered or vesicular, jointed basalt",2.0%,1.0%,3.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laterite,2.5%,2.0%,3.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandstone,3.0%,1.0%,5.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quartzite,1.5%,1.0%,2.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limestone,2.0%,1.0%,3.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karstified limestone,8.0%,5.0%,15.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phyllites, Shales",1.5%,1.0%,2.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
massive Poorly Factured rock,0.3%,0.2%,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average for hard Rock areas,2.5%,1.5%,4.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
