Lat,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec
50N,3.8,6.1,9.4,12.7,15.8,17.1,16.4,14.1,10.9,7.4,4.5,3.2
49N,4.05,6.35,9.6,12.85,15.85,17.15,16.45,14.2,11.05,7.6,4.75,3.45
48N,4.3,6.6,9.8,13,15.9,17.2,16.5,14.3,11.2,7.8,5,3.7
47N,4.6,7.15,10,13.15,15.95,17.2,16.55,14.4,11.35,8.05,5.25,4
46N,4.9,7.7,10.2,13.3,16,17.2,16.6,14.5,11.5,8.3,5.5,4.3
45N,5.1,7.65,10.4,13.5,16.05,17.2,16.6,14.6,11.7,8.5,5.75,4.5
44N,5.3,7.6,10.6,13.7,16.1,17.2,16.6,14.7,11.9,8.7,6,4.7
43N,5.6,7.85,10.8,13.85,16.15,17.25,16.65,14.85,12.05,8.9,6.25,4.95
42N,5.9,8.1,11,14,16.2,17.3,16.7,15,12.2,9.1,6.5,5.2
41N,6.15,8.35,11.2,14.15,16.3,17.3,16.7,15.1,12.35,9.35,6.75,5.45
40N,6.4,8.6,11.4,14.3,16.4,17.3,16.7,15.2,12.5,9.6,7,5.7
39N,6.65,8.8,11.6,14.4,16.4,17.25,16.7,15.25,12.65,9.8,7.25,5.9
38N,6.9,9,11.8,14.5,16.4,17.2,16.7,15.3,12.8,10,7.5,6.1
37N,7.15,9.2,11.95,14.6,16.4,17.2,16.7,15.35,12.95,10.3,7.75,6.35
36N,7.4,9.4,12.1,14.7,16.4,17.2,16.7,15.4,13.1,10.6,8,6.6
35N,7.65,9.6,12.25,14.75,16.45,17.15,16.75,15.45,13.25,10.7,8.25,6.9
34N,7.9,9.8,12.4,14.8,16.5,17.1,16.8,15.5,13.4,10.8,8.5,7.2
33N,8.1,10,12.6,14.9,16.5,17.05,16.8,15.55,13.5,11,8.75,7.5
32N,8.3,10.2,12.8,15,16.5,17,16.8,15.6,13.6,11.2,9,7.8
31N,8.55,10.45,12.95,15.1,16.5,17,16.8,15.65,13.75,11.4,9.25,8.05
