,Value
Time_Period,20.0
Interest_Rate,7.0
Farm_Pond_Vol,0.0
Farm_Pond_Depth,2.5
Farm_Pond_Inf_Rate,7.0
Farm_Pond_Cost,80.0
Farm_Pond_Life_Span,10.0
Farm_Pond_Maintenance,5.0
Farm_Pond_Lined_Vol,0.0
Farm_Pond_Lined_Depth,2.0
Farm_Pond_Lined_Inf_Rate,3.0
Farm_Pond_Lined_Cost,120.0
Farm_Pond_Lined_Life_Span,10.0
Farm_Pond_Lined_Maintenance,6.0
Check_Dam_Vol,0.0
Check_Dam_Depth,2.5
Check_Dam_Inf_Rate,7.0
Check_Dam_Cost,120.0
Check_Dam_Life_Span,15.0
Check_Dam_Maintenance,3.0
Infiltration_Pond_Vol,0.0
Infiltration_Pond_Depth,1.0
Infiltration_Pond_Inf_Rate,50.0
Infiltration_Pond_Cost,85.0
Infiltration_Pond_Life_Span,7.0
Infiltration_Pond_Maintenance,4.0
Injection_Wells_Vol,0.0
Injection_Wells_Nos,0.0
Injection_Wells_Cost,20000.0
Injection_Wells_Life_Span,15.0
Injection_Wells_Maintenance,2.0
Drip_Area,0
Eff_Drip_irrigation,
Sprinkler_Area,0
Eff_Sprinkler_irrigation,
Land_Levelling_Area,0
Eff_Land_Levelling,
DSR_Area,0
Eff_Direct_Seeded_Rice,
AWD_Area,0
Eff_Alternate_Wetting_And_Dry,
SRI_Area,0
Eff_SRI,
Ridge_Furrow_Area,0
Eff_Ridge_Furrow_Irrigation,
Deficit_Area,0
Eff_Deficit_Irrigation,
Drip_Irr_Cost,nan
Drip_Irr_Life_Span,nan
Drip_Irr_Maintenance,nan
Sprinkler_Irr_Cost,nan
Sprinkler_Irr_Life_Span,nan
Sprinkler_Irr_Maintenance,nan
Land_Levelling_Cost,nan
Land_Levelling_Life_Span,nan
Land_Levelling_Maintenance,nan
Direct_Seeded_Rice_Cost,nan
Direct_Seeded_Rice_Life_Span,nan
Alternate_Wetting_And_Dry_Cost,nan
Alternate_Wetting_And_Dry_Life_Span,nan
SRI_Cost,nan
SRI_Life_Span,nan
Ridge_Furrow_Irrigation_Cost,nan
Ridge_Furrow_Irrigation_Life_Span,nan
Deficit_Irrigation_Cost,nan
Deficit_Irrigation_Life_Span,nan
Cover_Area,0
Mulching_Area,0
BBF_Area,0
Bunds_Area,0
Tillage_Area,0
Tank_Area,0
Red_CN_Cover_Crops,nan
Cover_Crops_Cost,nan
Cover_Crops_Life_Span,nan
Cover_Crops_Eva_Red,nan
Red_CN_Mulching,nan
Mulching_Cost,nan
Mulching_Life_Span,nan
Mulching_Eva_Red,nan
Red_CN_BBF,nan
BBF_Cost,nan
BBF_Life_Span,nan
BBF_Maintenance,nan
Eff_BBF,nan
Red_CN_Bund,nan
Bund_Cost,nan
Bund_Life_Span,nan
Bund_Maintenance,nan
Red_CN_Tillage,nan
Tillage_Cost,nan
Tillage_Life_Span,nan
Tillage_Eva_Red,nan
Red_CN_Tank,nan
Tank_Desilting_Life_Span,nan
Tank_Eva_Red,nan
Tank_Desilting_Vol,nan
Tank_Desilting_Depth,nan
Tank_Desilting_Cost,nan
