Date,Pi,last_5_days_Rain,EToi,ETci_Chilli,ETci_Tobacco,ETci_Pulses,ETci_plot 1,ETci_plot 2,ETci_plot 3,ETci,ESi_plot 1,ESi_plot 2,ESi_plot 3,CNi,Si,Iai,Recharge_src,Rain_src,runoff,Qi,Eff_Rain,Pei,Kc_Fallow,Ke_Fallow,ESi_Fallow,SMDi_shifted_Fallow,Ks_soil_cond_Fallow,Ks_soil_Fallow,AE_soil_Fallow,SMDi_Fallow
1997-01-01,0,0,4.09004,0,0,0,0,0,0,0,4.29454,4.29454,4.29454,70.9847,103.824,20.7647,0,0,5.191182423605103,0,0,0,0,1.05,4.29454,0,1,1,4.29454,4.29454
1997-01-02,0.0489975,0.0489975,4.09004,0,0,0,0,0,0,0,4.29454,4.29454,4.29454,70.9847,103.824,20.7647,0.00636967,0.0426278,5.16366646890853,0,0.0426278,0.0489975,0,1.05,4.29454,4.29454,1,1,4.29454,8.54008
1997-01-03,0.125063,0.17406,4.09004,0,0,0,0,0,0,0,4.29454,4.29454,4.29454,70.9847,103.824,20.7647,0.0162581,0.108805,5.12112846754855,0,0.108805,0.125063,0,1.05,4.29454,8.54008,1,1,4.29454,12.7096
1997-01-04,0.000250627,0.174311,4.09004,0,0,0,0,0,0,0,4.29454,4.29454,4.29454,70.9847,103.824,20.7647,3.25815e-05,0.000218045,5.191041447099251,0,0.000218045,0.000250627,0,1.05,4.29454,12.7096,2,0.882126,3.78835,16.4977
1997-01-05,0.494236,0.668546,4.09004,0,0,0,0,0,0,0,4.29454,4.29454,4.29454,70.9847,103.824,20.7647,0.0642506,0.429985,4.917742892714068,0,0.429985,0.494236,0,1.05,4.29454,16.4977,2,0.648293,2.95794,18.9614
1997-01-06,0,0.668546,4.09004,0,0,0,0,0,0,0,4.29454,4.29454,4.29454,70.9847,103.824,20.7647,0,0,5.191182423605103,0,0,0,0,1.05,4.29454,18.9614,2,0.496212,2.131,21.0924
1997-01-07,0,0.619549,4.09004,0,0,0,0,0,0,0,4.29454,4.29454,4.29454,70.9847,103.824,20.7647,0,0,5.191182423605103,0,0,0,0,1.05,4.29454,21.0924,2,0.364669,1.56608,22.6585
1997-01-08,0,0.494486,4.09004,0,0,0,0,0,0,0,4.29454,4.29454,4.29454,70.9847,103.824,20.7647,0,0,5.191182423605103,0,0,0,0,1.05,4.29454,22.6585,2,0.267997,1.15092,23.8094
1997-01-09,0,0.494236,4.09004,0,0,0,0,0,0,0,4.29454,4.29454,4.29454,70.9847,103.824,20.7647,0,0,5.191182423605103,0,0,0,0,1.05,4.29454,23.8094,2,0.196952,0.845819,24.6552
1997-01-10,0,0,4.09004,0,0,0,0,0,0,0,4.29454,4.29454,4.29454,70.9847,103.824,20.7647,0,0,5.191182423605103,0,0,0,0,1.05,4.29454,24.6552,2,0.144741,0.621596,25.2768
