Date,Rain(mm),Runoff(mm),Recharge(mm),ET_WaterBalance(mm),ET_Biological(mm),water_year
1997-01-31,2.10163,0.0,0,2.1016290890000002,29.0986,1997
1997-02-28,19.6382,0.5096633278766044,0,19.128515441123394,19.1219,1997
1997-03-31,0.653175,0.0,0,0.653174608,0.662846,1997
1997-04-30,30.1301,3.130788922087621,0,26.99932806591238,25.5498,1997
1997-05-31,20.6741,0.0,0,20.674101872,22.1237,1997
1997-06-30,55.0689,2.079172894185847,0,52.98970793981415,52.7214,1997
1997-07-31,94.3018,1.3356899614622317,0,92.96610624653776,89.6133,1997
1997-08-31,111.494,0.0,0,111.493692108,109.813,1997
1997-09-30,251.924,82.69951044159237,41.3671,127.85733123131348,106.159,1997
1997-10-31,276.045,126.93673407138982,88.882,60.2266908225282,97.6657,1997
1997-11-30,147.842,49.364504059232566,2.58824,95.88898173918723,109.897,1997
1997-12-31,2.06554,0.0,0,2.065538834,45.7619,1997
1998-01-31,2.10163,0.0,0,2.1016290890000002,10.1992,1998
1998-02-28,19.6382,0.0,0,19.638178769,15.7436,1998
1998-03-31,0.653175,0.0,0,0.653174608,0.656731,1998
1998-04-30,30.1301,3.130788922087621,0,26.99932806591238,16.6456,1998
1998-05-31,20.6741,0.0,0,20.674101872,21.1821,1998
1998-06-30,55.0689,2.079172894185847,0,52.98970793981415,38.5995,1998
1998-07-31,94.3018,1.3356899614622317,0,92.96610624653776,79.0341,1998
1998-08-31,111.494,0.0,0,111.493692108,95.0432,1998
1998-09-30,251.924,82.69951044159237,36.9297,132.29468807991103,91.6767,1998
1998-10-31,276.045,159.65796426859248,52.0475,64.33994382480665,97.6657,1998
1998-11-30,147.842,49.364504059232566,2.58824,95.88898173918723,109.897,1998
1998-12-31,2.06554,0.0,0,2.065538834,45.7619,1998
1999-01-31,1.51642,0.0,0,1.516416053,9.97173,1999
1999-02-28,0.853843,0.0,0,0.853842942,3.49293,1999
1999-03-31,5.25313,0.0,0,5.253132875,5.25313,1999
1999-04-30,0.255931,0.0,0,0.255931496,0.255931,1999
1999-05-31,47.5813,0.0951051479662179,0,47.486181386033785,40.6639,1999
1999-06-30,31.0479,0.0,0,31.047911442,31.0496,1999
1999-07-31,100.119,14.813031445909907,0,85.30643386409008,73.3578,1999
1999-08-31,117.664,12.679493925414452,4.08402,100.90019198848559,73.2977,1999
1999-09-30,62.2579,0.0,0,62.257894774,58.8363,1999
1999-10-31,172.751,23.388385972211932,9.39453,139.9680441248576,108.501,1999
1999-11-30,33.8057,0.0,0,33.805680637,67.5314,1999
1999-12-31,2.61692,0.0,0,2.6169173050000003,40.8278,1999
2000-01-31,0.05,0.0,0,0.05,7.89081,2000
2000-02-29,105.6,24.611245371683413,6.6183,74.37045552517625,37.8455,2000
2000-03-31,0,0.0,0,0.0,6.59524,2000
2000-04-30,9.67,0.0,0,9.67,9.67,2000
2000-05-31,50.5,1.107051022396257,0,49.392948977603744,42.5069,2000
2000-06-30,132.53,24.91377421202978,0,107.61622578797022,73.4483,2000
2000-07-31,154.36,67.32747577960359,8.26997,78.76255754579178,72.7678,2000
2000-08-31,343.52,167.18934710021762,26.7984,149.5322698735918,136.081,2000
2000-09-30,69.15,0.0,0,69.15,78.8144,2000
2000-10-31,100.85,0.44469584771654874,2.3911,98.01420378397522,110.375,2000
2000-11-30,53.31,0.0,0,53.31,67.5071,2000
2000-12-31,20.5532,0.0,0,20.553182958,62.2768,2000
2001-01-31,9.27498,0.0,0,9.274979146,14.2918,2001
2001-02-28,0.867377,0.0,0,0.867376765,3.69391,2001
2001-03-31,4.10459,0.0,0,4.104594841,4.10459,2001
2001-04-30,67.7212,29.474201890631075,0,38.24697605936892,26.2686,2001
2001-05-31,9.57678,0.0,0,9.5767752424,9.58276,2001
2001-06-30,38.1844,0.0,0,38.184377703,34.4089,2001
2001-07-31,51.0843,6.224575185154052,0,44.85971859004595,31.9375,2001
2001-08-31,113.127,5.629660831560901,5.00265,102.49441858487282,82.6133,2001
2001-09-30,166.008,17.891568616727017,9.31897,138.79748561547416,96.2608,2001
2001-10-31,281.983,105.47333531934206,74.3415,102.16852439422108,116.609,2001
2001-11-30,105.902,40.72684819380706,2.39611,62.77912629695797,97.2588,2001
2001-12-31,23.4372,0.0,0,23.437218101,56.1342,2001
2002-01-31,62.7945,2.001287537987129,5.02305,55.77015103214521,39.8811,2002
2002-02-28,0.863952,0.0,0,0.8639515470000001,4.76996,2002
2002-03-31,5.49002,0.0,0,5.490016714,5.49002,2002
2002-04-30,6.30539,0.0,0,6.305388522,6.30539,2002
2002-05-31,33.3188,0.0,0,33.318796968,31.9145,2002
2002-06-30,52.6066,0.0,0,52.606641622,46.3077,2002
2002-07-31,43.8053,0.20130927800307832,0,43.60395406899692,35.5114,2002
2002-08-31,104.663,0.0,0,104.662531398,94.8812,2002
2002-09-30,43.8544,0.0,0,43.854427676,50.5943,2002
2002-10-31,217.984,58.165958717629636,24.864,134.95441585975806,94.2412,2002
2002-11-30,69.0296,3.3349889417173078,11.8138,53.88082323579306,97.5804,2002
2002-12-31,0.341813,0.0,0,0.341812864,36.6079,2002
2003-01-31,3.24,0.0,0,3.24,9.84659,2003
2003-02-28,1.9,0.0,0,1.9000000000000001,4.40912,2003
2003-03-31,41.62,4.623424515423011,0,36.996575484576994,25.3593,2003
2003-04-30,11.55,0.0,0,11.55,11.5649,2003
2003-05-31,5.36,0.0,0,5.36,5.36,2003
2003-06-30,89.72,16.91508434081495,0,72.80491565918504,60.391,2003
2003-07-31,136.53,8.300218381288081,0,128.2297816187119,105.232,2003
2003-08-31,94.46,0.0,0,94.46,79.553,2003
2003-09-30,151.65,20.024740363719474,15.8935,115.73177044101601,81.0648,2003
2003-10-31,179.47,57.74195545859774,20.8405,100.88755638284121,115.105,2003
2003-11-30,21.08,0.0,0,21.08,63.7974,2003
2003-12-31,32.98,0.0,0,32.98,50.8521,2003
2004-01-31,15.9318,0.0,0,15.931787743,22.589,2004
2004-02-29,0.618254,0.0,0,0.6182539671,4.92368,2004
2004-03-31,7.99954,0.0,0,7.999540581,6.54215,2004
2004-04-30,43.7995,19.860943657312802,0,23.938596600687198,18.2213,2004
2004-05-31,130.607,28.755045557607705,2.42133,99.43093323781285,72.3004,2004
2004-06-30,34.3599,0.0,0,34.3599416681,33.5416,2004
2004-07-31,145.533,7.319311083078192,0,138.21398026712183,110.774,2004
2004-08-31,36.0357,0.0,0,36.0356725502,38.8425,2004
2004-09-30,147.89,18.448304190204308,3.9326,125.50915489886843,117.824,2004
2004-10-31,190.243,20.121556460336947,28.5171,141.60405149091045,111.693,2004
2004-11-30,83.6933,13.632670596704216,22.1731,47.8875741569144,105.289,2004
2004-12-31,0,0.0,0,0.0,40.9986,2004
2005-01-31,0.362949,0.0,0,0.362949038,8.12353,2005
2005-02-28,19.7623,0.0,0,19.762322291,16.7246,2005
2005-03-31,6.54616,0.0,0,6.546157094,6.54637,2005
2005-04-30,11.5421,0.0,0,11.542147062,11.5421,2005
2005-05-31,47.0974,0.8202853262554648,0,46.27708320694453,38.0852,2005
2005-06-30,18.3721,0.0,0,18.3720969532,20.245,2005
2005-07-31,109.062,11.00118063605725,0,98.06118342394274,82.6942,2005
2005-08-31,76.81,0.0,0,76.809983328,69.119,2005
2005-09-30,204.879,45.294050136425014,13.2378,146.34721754812,102.085,2005
2005-10-31,442.322,223.1059698870336,93.5256,125.69053324793508,97.5061,2005
2005-11-30,66.7922,3.628704153170833,8.42478,54.738699327063635,100.742,2005
2005-12-31,17.2598,0.0,0,17.259774535000002,60.2315,2005
2006-01-31,0.22,0.0,0,0.21999999999999997,9.84723,2006
2006-02-28,0,0.0,0,0.0,2.72524,2006
2006-03-31,72.25,47.281075392763256,0,24.968924607236744,16.6787,2006
