Date,%Irr_yield_Chilli,%Rf_yield_Chilli,%yield_Chilli,%Irr_yield_Tobacco,%Rf_yield_Tobacco,%yield_Tobacco,%Irr_yield_Pulses,%Rf_yield_Pulses,%yield_Pulses
1998-12-31,0.948631,0,0.948631,1,0.843622,0.97671,0,0.881099,0.881099
1999-12-31,0.87521,0,0.87521,0.865224,0.70136,0.840819,0,0.835907,0.835907
2000-12-31,0.715329,0,0.715329,0.818703,0.709186,0.802392,0,0.891851,0.891851
2001-12-31,0.739441,0,0.739441,0.961098,0.825887,0.94096,0,0.904587,0.904587
2002-12-31,0.822004,0,0.822004,0.828904,0.691019,0.808368,0,0.79311,0.79311
2003-12-31,0.592306,0,0.592306,0.818528,0.717423,0.80347,0,0.785655,0.785655
2004-12-31,0.697635,0,0.697635,0.957533,0.790066,0.932591,0,0.813785,0.813785
2005-12-31,0.724187,0,0.724187,0.964263,0.805384,0.9406,0,0.905245,0.905245
2006-12-31,0.977461,0,0.977461,0.985938,0.813942,0.960321,0,0.926987,0.926987
2007-12-31,1,0,1,1,0.742113,0.961591,0,0.776976,0.776976
2008-12-31,0.916516,0,0.916516,0.966138,0.823299,0.944864,0,0.920482,0.920482
2009-12-31,0.688028,0,0.688028,0.912989,0.868331,0.906337,0,0.973769,0.973769
2010-12-31,1,0,1,1,0.967893,0.995218,0,0.97942,0.97942
2011-12-31,1,0,1,1,0.73333,0.960283,0,0.832991,0.832991
2012-12-31,0.802402,0,0.802402,0.86828,0.75405,0.851267,0,0.796032,0.796032
2013-12-31,0.761653,0,0.761653,0.95036,0.779861,0.924967,0,0.860399,0.860399
2014-12-31,0.390054,0,0.390054,0.619093,0.606717,0.61725,0,0.893942,0.893942
2015-12-31,0.567966,0,0.567966,0.851126,0.797,0.843065,0,0.964428,0.964428
2016-12-31,0.445287,0,0.445287,0.579383,0.550935,0.575146,0,0.855312,0.855312
2017-12-31,0.569559,0,0.569559,0.737618,0.654266,0.725204,0,0.749888,0.749888
