Date,ETci_Chilli,ETci_Tobacco,ETci_Pulses,Irr_CWR_met_Chilli,Irr_CWR_met_Tobacco,Irr_CWR_met_Pulses,Rainfed_CWR_met_Chilli,Rainfed_CWR_met_Tobacco,Rainfed_CWR_met_Pulses,AE_crop_Chilli,AE_crop_Tobacco,AE_crop_Pulses,AE_soil_Chilli,AE_soil_Tobacco,AE_soil_Pulses,IWR_Chilli,IWR_Tobacco,IWR_Pulses,%Irr_CWR_met_Chilli,%Rainfed_CWR_met_Chilli,%Combined_CWR_met_Chilli,Irr_yield_Chilli,Rainfed_yield_Chilli,Avg_yield_Chilli,IWR_met_Chilli,Irr_CWR_Chilli(cu.m/ha),Irr_CWR_Chilli(cu.m),Irr_CWA_Chilli(cu.m/ha),Irr_CWA_Chilli(cu.m),Rainfed_CWR_Chilli(cu.m/ha),Rainfed_CWR_Chilli(cu.m),Rainfed_CWA_Chilli(cu.m/ha),Rainfed_CWA_Chilli(cu.m),Combined CWR_Chilli(cu.m/ha),Combined CWR_Chilli(cu.m),Combined CWA_Chilli(cu.m/ha),Combined CWA_Chilli(cu.m),Potential_Yield_Chilli (Kg/ha),Potential_Irr_Production_Chilli(tonnes),Total_Irr_Production_Chilli,Potential_Rf_Production_Chilli(tonnes),Total_Rf_Production_Chilli,Potential_combined_Production_Chilli(tonnes),Total_combined_Production_Chilli,Potential_WP_Chilli (kg/cu.m),Combined_WP_Chilli (kg/cu.m),AE_crop_soil_Chilli(mm),Yield_Irr_Chilli (kg/ha),Yield_rf_Chilli (kg/ha),Actual_Rainfed_WP_Chilli (kg/cu.m),Water_use_total_Chilli [ETA + IWR/eff],Actual Irrigated WP (kg/ha)_Chilli,%Irr_CWR_met_Tobacco,%Rainfed_CWR_met_Tobacco,%Combined_CWR_met_Tobacco,Irr_yield_Tobacco,Rainfed_yield_Tobacco,Avg_yield_Tobacco,IWR_met_Tobacco,Irr_CWR_Tobacco(cu.m/ha),Irr_CWR_Tobacco(cu.m),Irr_CWA_Tobacco(cu.m/ha),Irr_CWA_Tobacco(cu.m),Rainfed_CWR_Tobacco(cu.m/ha),Rainfed_CWR_Tobacco(cu.m),Rainfed_CWA_Tobacco(cu.m/ha),Rainfed_CWA_Tobacco(cu.m),Combined CWR_Tobacco(cu.m/ha),Combined CWR_Tobacco(cu.m),Combined CWA_Tobacco(cu.m/ha),Combined CWA_Tobacco(cu.m),Potential_Yield_Tobacco (Kg/ha),Potential_Irr_Production_Tobacco(tonnes),Total_Irr_Production_Tobacco,Potential_Rf_Production_Tobacco(tonnes),Total_Rf_Production_Tobacco,Potential_combined_Production_Tobacco(tonnes),Total_combined_Production_Tobacco,Potential_WP_Tobacco (kg/cu.m),Combined_WP_Tobacco (kg/cu.m),AE_crop_soil_Tobacco(mm),Yield_Irr_Tobacco (kg/ha),Yield_rf_Tobacco (kg/ha),Actual_Rainfed_WP_Tobacco (kg/cu.m),Water_use_total_Tobacco [ETA + IWR/eff],Actual Irrigated WP (kg/ha)_Tobacco,%Irr_CWR_met_Pulses,%Rainfed_CWR_met_Pulses,%Combined_CWR_met_Pulses,Irr_yield_Pulses,Rainfed_yield_Pulses,Avg_yield_Pulses,IWR_met_Pulses,Irr_CWR_Pulses(cu.m/ha),Irr_CWR_Pulses(cu.m),Irr_CWA_Pulses(cu.m/ha),Irr_CWA_Pulses(cu.m),Rainfed_CWR_Pulses(cu.m/ha),Rainfed_CWR_Pulses(cu.m),Rainfed_CWA_Pulses(cu.m/ha),Rainfed_CWA_Pulses(cu.m),Combined CWR_Pulses(cu.m/ha),Combined CWR_Pulses(cu.m),Combined CWA_Pulses(cu.m/ha),Combined CWA_Pulses(cu.m),Potential_Yield_Pulses (Kg/ha),Potential_Irr_Production_Pulses(tonnes),Total_Irr_Production_Pulses,Potential_Rf_Production_Pulses(tonnes),Total_Rf_Production_Pulses,Potential_combined_Production_Pulses(tonnes),Total_combined_Production_Pulses,Potential_WP_Pulses (kg/cu.m),Combined_WP_Pulses (kg/cu.m),AE_crop_soil_Pulses(mm),Yield_Irr_Pulses (kg/ha),Yield_rf_Pulses (kg/ha),Actual_Rainfed_WP_Pulses (kg/cu.m),Water_use_total_Pulses [ETA + IWR/eff],Actual Irrigated WP (kg/ha)_Pulses,Rainfed_Yield_Avg,Irrigated_Yield_Avg,Rainfed_CWR_Avg,Rainfed_CWA_Avg,Irrigated_CWR_Avg,Irrigated_CWA_Avg,Combined_CWR_Avg,Combined_CWA_Avg,Drought Proofing
1998-12-31,534.263,407.303,176.441,527.235,407.303,176.441,437.893,336.532,150.217,437.893,336.532,150.217,90.6963,55.9631,37.2789,96.3697,70.7703,26.2239,0.986845,0,0.986845,0.986845,0,0.986845,0.986845,5342.63,3.80395e+06,5272.35,3.75391e+06,5342.63,0,4378.93,0,5342.63,3.80395e+06,5272.35,3.75391e+06,6500,4628,4567.12,0,0,4628,4567.12,1.21663,1.21663,528.59,6414.49,0,0,691.157,0.92808,1,0.826247,0.974122,1,0.843622,0.97671,1,4073.03,6.51684e+06,4073.03,6.51684e+06,4073.03,1.14045e+06,3365.32,942291,4073.03,5.7161e+06,3967.62,5.68659e+06,2000,3200,3200,560,472.428,3760,3672.43,0.491035,0.49234,392.495,2000,1687.24,0.501361,513.47,0.389506,0,0.851373,0.851373,0,0.881099,0.881099,0,1764.41,0,1764.41,0,1764.41,2.02908e+06,1502.17,1.7275e+06,1764.41,2.02908e+06,1502.17,1.7275e+06,1500,0,0,1725,1519.9,1725,1519.9,0.850141,0.879823,187.496,0,1321.65,0.879823,187.496,0,87.376,99.5949,3605.11,2985.6,3605.11,3591.74,3605.11,3458.19,0.949255
1999-12-31,792.842,446.071,198.906,752.498,418.63,190.338,326.22,298.055,158.107,326.22,298.055,158.107,62.8337,26.0702,0.781833,466.621,148.016,40.7987,0.949115,0,0.949115,0.949115,0,0.949115,0.949115,7928.42,5.64503e+06,7524.98,5.35779e+06,7928.42,0,3262.2,0,7928.42,5.64503e+06,7524.98,5.35779e+06,6500,4628,4392.5,0,0,4628,4392.5,0.819836,0.819836,389.054,6169.25,0,0,1146.11,0.538277,0.938482,0.668178,0.898224,0.944634,0.70136,0.908401,0.938482,4460.71,7.13714e+06,4186.3,6.69808e+06,4460.71,1.249e+06,2980.55,834554,4460.71,6.26018e+06,4006.72,5.82479e+06,2000,3200,3022.83,560,392.762,3760,3415.59,0.448359,0.453439,324.125,1889.27,1402.72,0.470625,561.579,0.33642,0,0.794884,0.794884,0,0.835907,0.835907,0,1989.06,0,1903.38,0,1989.06,2.28741e+06,1581.07,1.81823e+06,1989.06,2.28741e+06,1581.07,1.81823e+06,1500,0,0,1725,1441.94,1725,1441.94,0.754127,0.793046,158.889,0,1253.86,0.793046,158.889,0,80.9562,94.6014,4360.93,2604.05,4360.93,4119.97,4360.93,3930.69,0.893869
2000-12-31,797.416,461.111,199.984,644.543,417.392,188.186,465.077,312.114,172.949,465.077,312.114,172.949,110.926,45.7725,2.99523,332.339,148.997,27.035,0.808289,0,0.808289,0.808289,0,0.808289,0.808289,7974.16,5.6776e+06,6445.43,4.58915e+06,7974.16,0,4650.77,0,7974.16,5.6776e+06,6445.43,4.58915e+06,6500,4628,3740.76,0,0,4628,3740.76,0.815133,0.815133,576.003,5253.88,0,0,1035.19,0.507526,0.905187,0.676873,0.871183,0.914668,0.709186,0.884065,0.905187,4611.11,7.37778e+06,4173.92,6.67827e+06,4611.11,1.29111e+06,3121.14,873919,4611.11,6.47126e+06,4017.12,5.81379e+06,2000,3200,2926.94,560,397.144,3760,3324.08,0.433735,0.440148,357.886,1829.34,1418.37,0.45444,588.434,0.310882,0,0.864814,0.864814,0,0.891851,0.891851,0,1999.84,0,1881.86,0,1999.84,2.29982e+06,1729.49,1.98892e+06,1999.84,2.29982e+06,1729.49,1.98892e+06,1500,0,0,1725,1538.44,1725,1538.44,0.750059,0.773508,175.945,0,1337.78,0.773508,175.945,0,85.6085,88.1908,4448.51,2984.5,4448.51,3901.72,4448.51,3776.12,0.87204
2001-12-31,784.247,433.235,189.856,609.083,424.005,183.563,474.503,349.422,167.212,474.503,349.422,167.212,69.7632,56.2086,26.541,309.743,83.8131,22.6433,0.776647,0,0.776647,0.776647,0,0.776647,0.776647,7842.47,5.58384e+06,6090.83,4.33667e+06,7842.47,0,4745.03,0,7842.47,5.58384e+06,6090.83,4.33667e+06,6500,4628,3594.32,0,0,4628,3594.32,0.828821,0.828821,544.266,5048.21,0,0,955.482,0.528341,0.978694,0.806541,0.953054,0.980824,0.825887,0.957748,0.978694,4332.35,6.93177e+06,4240.05,6.78407e+06,4332.35,1.21306e+06,3494.22,978382,4332.35,6.08004e+06,4128.97,5.9194e+06,2000,3200,3138.64,560,462.497,3760,3601.13,0.461643,0.463917,405.631,1961.65,1651.77,0.472716,545.849,0.359376,0,0.880734,0.880734,0,0.904587,0.904587,0,1898.56,0,1835.63,0,1898.56,2.18334e+06,1672.12,1.92294e+06,1898.56,2.18334e+06,1672.12,1.92294e+06,1500,0,0,1725,1560.41,1725,1560.41,0.790074,0.811472,193.753,0,1356.88,0.811472,193.753,0,88.9178,91.7946,4252.27,3172.25,4252.27,3853.27,4252.27,3747.21,0.906952
2002-12-31,809.391,467.196,205.899,786.48,452.664,196.688,378.758,306.802,152.651,378.758,306.802,152.651,90.7606,41.7869,30.1703,430.633,160.394,53.2482,0.971694,0,0.971694,0.971694,0,0.971694,0.971694,8093.91,5.76286e+06,7864.8,5.59974e+06,8093.91,0,3787.58,0,8093.91,5.76286e+06,7864.8,5.59974e+06,6500,4628,4497,0,0,4628,4497,0.803073,0.803073,469.519,6316.01,0,0,1184.81,0.533084,0.968895,0.656687,0.922396,0.972005,0.691019,0.930156,0.968895,4671.96,7.47514e+06,4526.64,7.24262e+06,4671.96,1.30815e+06,3068.02,859045,4671.96,6.55665e+06,4309.4,6.29188e+06,2000,3200,3110.42,560,386.97,3760,3497.39,0.428086,0.431687,348.589,1944.01,1382.04,0.450466,614.239,0.316491,0,0.741387,0.741387,0,0.79311,0.79311,0,2058.99,0,1966.88,0,2058.99,2.36784e+06,1526.51,1.75549e+06,2058.99,2.36784e+06,1526.51,1.75549e+06,1500,0,0,1725,1368.11,1725,1368.11,0.728511,0.779335,182.822,0,1189.67,0.779335,182.822,0,77.312,97.1909,4520.04,2731.19,4520.04,4375.13,4520.04,4130.65,0.895942
2003-12-31,805.024,456.867,198.913,575.471,411.64,173.997,395.219,313.423,145.618,395.219,313.423,145.618,69.1121,43.1133,14.775,409.805,143.444,53.295,0.71485,0,0.71485,0.71485,0,0.71485,0.71485,8050.24,5.73177e+06,5754.71,4.09735e+06,8050.24,0,3952.19,0,8050.24,5.73177e+06,5754.71,4.09735e+06,6500,4628,3308.32,0,0,4628,3308.32,0.807429,0.807429,464.331,4646.52,0,0,965.098,0.481456,0.901006,0.686026,0.868988,0.910905,0.717423,0.882089,0.901006,4568.67,7.30987e+06,4116.4,6.58624e+06,4568.67,1.27923e+06,3134.23,877583,4568.67,6.41169e+06,3970.12,5.73601e+06,2000,3200,2914.9,560,401.757,3760,3316.65,0.437764,0.444364,356.536,1821.81,1434.85,0.457799,577.466,0.315483,0,0.732069,0.732069,0,0.785655,0.785655,0,1989.13,0,1739.97,0,1989.13,2.2875e+06,1456.18,1.67461e+06,1989.13,2.2875e+06,1456.18,1.67461e+06,1500,0,0,1725,1355.26,1725,1355.26,0.754098,0.809297,160.393,0,1178.48,0.809297,160.393,0,77.2295,85.0528,4438.37,2774.16,4438.37,3697.8,4438.37,3537.09,0.820632
2004-12-31,811.067,458.564,206.651,649.854,448.076,200.351,468.788,351.599,158.549,468.788,351.599,158.549,27.2457,80.2744,20.9808,342.279,106.965,48.1018,0.801233,0,0.801233,0.801233,0,0.801233,0.801233,8110.67,5.7748e+06,6498.54,4.62696e+06,8110.67,0,4687.88,0,8110.67,5.7748e+06,6498.54,4.62696e+06,6500,4628,3708.11,0,0,4628,3708.11,0.801414,0.801414,496.033,5208.02,0,0,964.829,0.539787,0.977129,0.76674,0.945795,0.979416,0.790066,0.951215,0.977129,4585.64,7.33702e+06,4480.76,7.16922e+06,4585.64,1.28398e+06,3515.99,984478,4585.64,6.43551e+06,4337.07,6.24809e+06,2000,3200,3134.13,560,442.437,3760,3576.57,0.436144,0.438644,431.874,1958.83,1580.13,0.449413,610.537,0.320837,0,0.767231,0.767231,0,0.813785,0.813785,0,2066.51,0,2003.51,0,2066.51,2.37648e+06,1585.49,1.82331e+06,2066.51,2.37648e+06,1585.49,1.82331e+06,1500,0,0,1725,1403.78,1725,1403.78,0.725863,0.769906,179.53,0,1220.68,0.769906,179.53,0,80.9141,92.4543,4482.17,3145.68,4482.17,4103.37,4482.17,3902.72,0.880442
2005-12-31,787.148,434.932,194.325,787.148,434.932,194.325,449.026,340.882,171.308,449.026,340.882,171.308,75.3079,57.3064,9.95609,338.122,94.0499,23.0165,1,0,1,1,0,1,1,7871.48,5.6045e+06,7871.48,5.6045e+06,7871.48,0,4490.26,0,7871.48,5.6045e+06,7871.48,5.6045e+06,6500,4628,4628,0,0,4628,4628,0.825765,0.825765,524.334,6500,0,0,1102.32,0.589665,1,0.783759,0.967794,1,0.805384,0.971015,1,4349.32,6.95891e+06,4349.32,6.95891e+06,4349.32,1.21781e+06,3408.82,954470,4349.32,6.10385e+06,4209.24,6.06463e+06,2000,3200,3200,560,451.015,3760,3651.01,0.459842,0.461372,398.188,2000,1610.77,0.472529,558.957,0.357809,0,0.881556,0.881556,0,0.905245,0.905245,0,1943.25,0,1943.25,0,1943.25,2.23473e+06,1713.08,1.97004e+06,1943.25,2.23473e+06,1713.08,1.97004e+06,1500,0,0,1725,1561.55,1725,1561.55,0.771905,0.792647,181.264,0,1357.87,0.792647,181.264,0,88.5692,100,4280.05,3093.45,4280.05,4280.05,4280.05,4138.94,0.956317
2006-12-31,812.289,447.092,196.86,812.289,447.092,196.86,429.717,354.664,178.894,429.717,354.664,178.894,45.4224,64.1828,33.2504,382.573,92.4279,17.9666,1,0,1,1,0,1,1,8122.89,5.7835e+06,8122.89,5.7835e+06,8122.89,0,4297.17,0,8122.89,5.7835e+06,8122.89,5.7835e+06,6500,4628,4628,0,0,4628,4628,0.800207,0.800207,475.139,6500,0,0,1129.11,0.575675,1,0.793269,0.96921,1,0.813942,0.972289,1,4470.92,7.15347e+06,4470.92,7.15347e+06,4470.92,1.25186e+06,3546.64,993059,4470.92,6.2745e+06,4333.26,6.23596e+06,2000,3200,3200,560,455.807,3760,3655.81,0.447335,0.448757,418.847,2000,1627.88,0.458993,576.843,0.346715,0,0.908734,0.908734,0,0.926987,0.926987,0,1968.6,0,1968.6,0,1968.6,2.26389e+06,1788.94,2.05728e+06,1968.6,2.26389e+06,1788.94,2.05728e+06,1500,0,0,1725,1599.05,1725,1599.05,0.761962,0.777267,212.144,0,1390.48,0.777267,212.144,0,90.4853,100,4396.77,3149.26,4396.77,4396.77,4396.77,4272.4,0.96364
2007-12-31,802.619,457.361,205.993,802.619,457.361,205.993,466.668,326.308,148.566,466.668,326.308,148.566,67.2997,73.6509,14.417,335.951,131.053,57.4268,1,0,1,1,0,1,1,8026.19,5.71465e+06,8026.19,5.71465e+06,8026.19,0,4666.68,0,8026.19,5.71465e+06,8026.19,5.71465e+06,6500,4628,4628,0,0,4628,4628,0.809849,0.809849,533.968,6500,0,0,1108.24,0.586514,1,0.713459,0.957324,1,0.742113,0.961591,1,4573.61,7.31777e+06,4573.61,7.31777e+06,4573.61,1.28061e+06,3263.08,913663,4573.61,6.41862e+06,4378.42,6.36397e+06,2000,3200,3200,560,415.583,3760,3615.58,0.437291,0.439241,399.959,2000,1484.23,0.454854,623.981,0.320523,0,0.721219,0.721219,0,0.776976,0.776976,0,2059.93,0,2059.93,0,2059.93,2.36892e+06,1485.66,1.70851e+06,2059.93,2.36892e+06,1485.66,1.70851e+06,1500,0,0,1725,1340.28,1725,1340.28,0.72818,0.784475,162.983,0,1165.46,0.784475,162.983,0,77.0149,100,4458.03,2983.91,4458.03,4458.03,4458.03,4183.48,0.912163
