Date,Year,Month,Tmin,Tmax,Tmean,Rain,Days,ETom,ETci_Chilli,ETci_Tobacco,ETci_Pulses,ETci_plot 1,ETci_plot 2,ETci_plot 3,RG_days_Chilli,RG_days_Tobacco,RG_days_Pulses,Irr_Area_Chilli,Rainfed_Area_Chilli,Irr_Area_Tobacco,Rainfed_Area_Tobacco,Irr_Area_Pulses,Rainfed_Area_Pulses,Qom,Qom(m^3),GWnrm_plot 1,GWnrm_plot 2,GWnrm_plot 3,GWnrm_Fallow,Recharge,IWR_Chilli,AE_soil_Chilli,AE_crop_Chilli,IWR_Tobacco,AE_soil_Tobacco,AE_crop_Tobacco,IWR_Pulses,AE_soil_Pulses,AE_crop_Pulses,Irrigation_eff_Chilli,Irr_water_need_Chilli,Irrigation_eff_Tobacco,Irr_water_need_Tobacco,Irrigation_eff_Pulses,Irr_water_need_Pulses,Irr_water_need,Total Irrigated Area,Total Rainfed Area,Residual_storage,Accumulated_natural_recharge,Potential_ET,Canal_supply,IWR_after_canal,Potential_recharge,Domestic_need,Other_need,GW_need,SW_need,SW_abstracted,value_after_subtracting_domestic_SW_use,Value after Rejected Recharge,Storage,all_req_met,Actual_Recharge,Actual_ET,Actual_IWR,Runoff_captured,Runoff_left_after_storage,Runoff in GW recharge str,added_monthly_recharge,Cumulative_storage_monthly,GW_abstracted,Cumulative_left_after_domestic_abstraction,GW_extracted,Cumulative_left_after_crop_abstraction,Rejected_recharge,GW_left_after_rejected_recharge,Captured Runoff in m³,Actual_Recharge_mm,Runoff in GW recharge str_mm,Captured Runoff in m³_mm,Rejected_recharge_mm,Percent_Irr_Water_Req_Fulfilled,Irr_CWR_met_Chilli,Rainfed_CWR_met_Chilli,%Irr_CWR_met_Chilli,%Rainfed_CWR_met_Chilli,Irr_CWR_met_Tobacco,Rainfed_CWR_met_Tobacco,%Irr_CWR_met_Tobacco,%Rainfed_CWR_met_Tobacco,Irr_CWR_met_Pulses,Rainfed_CWR_met_Pulses,%Irr_CWR_met_Pulses,%Rainfed_CWR_met_Pulses,runoff to recharge,final_ro,Final_Runoff,Final_Recharge,Final_ET_Bio,Final_ET
1998-01-31,Year1,1,20.4,31.5,25.95,2.10163,31,126.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5705.6,0,0,22890,41664,465,25277.4,16851.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1998-02-28,Year1,2,22,33.7,27.86,19.6382,28,135.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5096633278766044,34285.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6087.65,0,0,22890,37632,420,22831.2,15220.8,15220.8,19064.3,34285.1,19064.3,0,15059.2,4005.03,0,19064.3,0,0,15059.2,15059.2,15059.2,0,0,0,0,0,19064.3,0.223862,0,0.283399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223862,0.22626430801248704,0.22626430801248704,0.223862,0,0
1998-03-31,Year1,3,24.4,36.4,30.4,0.653175,31,176.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7928.69,0,0,22890,41664,465,25277.4,16851.6,0,0,0,-4.54747e-13,0,-3.37755e-13,-1.16992e-13,-0,0,0,0,-3.37755e-13,-3.37755e-13,-3.37755e-13,0,0,0,0,0,0,-5.02089e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.02089e-18,0.0,0.0,0,0,0
1998-04-30,Year1,4,26.2,38.2,32.17,30.1301,30,186.923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.130788922087621,210608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8411.55,0,0,22890,40320,450,24462,16308,16308,194300,210608,194300,1,22890,8411.55,0,194300,0,0,22890,22890,22890,0,0,0,0,0,194300,0.340271,0,2.88836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340271,0.2424260442990933,0.2424260442990933,0.340271,0,0
1998-05-31,Year1,5,28.2,40.3,34.22,20.6741,31,205.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9231.29,0,0,22890,41664,465,25277.4,16851.6,0,0,0,162999,1,22890,9231.29,0,0,0,0,22890,22890,22890,0,0,0,0,0,0,0.340271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340271,0.0,0.0,0.340271,0,0
1998-06-30,Year1,6,28.1,39,33.56,55.0689,30,184.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.079172894185847,139866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8318.73,0,0,22890,40320,450,24462,16308,16308,123558,139866,249610,1,22890,8318.73,0,118733,4825.3,4825.3,27715.3,27715.3,24462,3253.3,0,3253.3,0,3253.3,123558,0.340271,0.0717303,1.83675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412001,0.24242604429909287,0.24242604429909287,0.412001,0,0
1998-07-31,Year1,7,25.7,34.5,30.12,94.3018,31,160.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3356899614622317,89851.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3253.3,0,7206.38,0,0,22890,41664,465,25277.4,16851.6,16851.6,73000.3,89851.9,249610,1,22890,7206.38,0,31208.7,41791.5,41791.5,64681.5,67934.8,25277.4,42657.4,0,42657.4,0,42657.4,73000.3,0.340271,0.621251,1.08518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961521,0.2505069124423964,0.2505069124423964,0.961521,0,0
1998-08-31,Year1,8,25.3,33,29.16,111.494,31,145.869,72.9344,0,0,72.9344,0,0,31,0,0,712,0,0,0,0,0,0,0,0,0,0,0,0,27.4445,81.0568,45.49,0,0,0,0,0,0,0.585,334025,0,0,0,0,334025,712,0,42657.4,0,6564.1,0,334025,22890,41664,465,25277.4,16851.6,0,0,0,219514,0,13823.8,3964.21,201726,0,0,0,13823.8,56481.2,25277.4,31203.8,31203.8,0,0,0,0,0.205497,0,0,0,0.697341,64.6281,45.49,0.886113,0.62371,0,0,0,0,0,0,0,0,0.205497,0.0,0.0,0.205497,126.547,126.547
1998-09-30,Year1,9,24.9,32.6,28.76,251.924,30,134.166,103.308,66.1888,0,103.308,66.1888,0,30,30,0,712,0,1600,280,0,0,82.69951044159237,5.5632e+06,29.6884,43.4875,42.7331,57.3646,46.4949,11.8436,9.63948,91.4645,15.7533,55.9631,50.4355,0,0,0,0.585,144148,0.585,430858,0,0,575007,2312,280,0,3.12771e+06,6037.49,0,575007,22890,40320,450,24462,16308,16308,5.54689e+06,5.5632e+06,249610,0,9460.59,2495.33,237654,249610,5.29728e+06,1.0368e+06,1.04626e+06,4.17397e+06,24462,4.14951e+06,337353,3.81216e+06,0,3.81216e+06,1.28641e+06,0.140636,15.4125,19.1231,0,1,103.308,91.4645,1,0.885356,66.1888,50.4355,1,0.761995,0,0,0,0,15.5532,63.576424370535435,63.576424370535435,62.048,207.503,207.503
1998-10-31,Year1,10,23.9,31.2,27.56,276.045,31,122.335,109.707,102.604,0,109.707,102.604,0,31,31,0,712,0,1600,280,0,0,103.99921111447313,6.99603e+06,119.96,119.96,105.161,105.161,111.82,0.0708591,0,109.636,2.33439,0,100.269,0,0,0,0.585,862.421,0.585,63846.6,0,0,64709,2312,280,3.81216e+06,7.5221e+06,5505.09,0,64709,22890,41664,465,25277.4,16851.6,16851.6,6.97918e+06,6.99603e+06,249610,1,22890,5505.09,64709,249610,6.72957e+06,1.0368e+06,1.05969e+06,1.23939e+07,25277.4,1.23687e+07,0,1.23687e+07,4.29627e+06,8.0724e+06,1.28641e+06,0.340271,15.4125,19.1231,63.866,1,109.707,109.636,1,0.999354,102.604,100.269,1,0.977248,0,0,0,0,15.7528,84.8761250434162,148.7421212642759,63.7063,209.906,209.906
