Date,%Irr_yield_Chilli,%Rf_yield_Chilli,%yield_Chilli,%Irr_yield_Tobacco,%Rf_yield_Tobacco,%yield_Tobacco,%Irr_yield_Pulses,%Rf_yield_Pulses,%yield_Pulses
1997-12-31,0.948631,0,0.948631,1,0.843622,0.97671,0,0.881099,0.881099
1998-12-31,1,0,1,1,0.823986,0.973785,0,0.859124,0.859124
1999-12-31,0.942666,0,0.942666,0.937616,0.70136,0.902429,0,0.835907,0.835907
2000-12-31,0.744742,0,0.744742,0.832387,0.709186,0.814038,0,0.891851,0.891851
2001-12-31,0.756419,0,0.756419,0.965385,0.825887,0.944609,0,0.90939,0.90939
2002-12-31,0.880685,0,0.880685,0.883405,0.691019,0.854752,0,0.811871,0.811871
2003-12-31,0.606392,0,0.606392,0.831805,0.717423,0.814769,0,0.785655,0.785655
2004-12-31,0.702278,0,0.702278,0.958968,0.790066,0.933813,0,0.814163,0.814163
2005-12-31,0.766257,0,0.766257,0.976346,0.805384,0.950884,0,0.905245,0.905245
2006-12-31,1,0,1,1,0.813942,0.972289,0,0.927475,0.927475
2007-12-31,1,0,1,1,0.742113,0.961591,0,0.776976,0.776976
2008-12-31,1,0,1,1,0.823299,0.973683,0,0.920482,0.920482
2009-12-31,0.915911,0,0.915911,0.951348,0.868331,0.938984,0,0.973769,0.973769
2010-12-31,1,0,1,1,0.967893,0.995218,0,0.97942,0.97942
2011-12-31,1,0,1,1,0.73333,0.960283,0,0.832991,0.832991
2012-12-31,0.947248,0,0.947248,0.941366,0.75405,0.913468,0,0.796032,0.796032
2013-12-31,0.782569,0,0.782569,0.970104,0.779861,0.94177,0,0.860399,0.860399
2014-12-31,0.391438,0,0.391438,0.620634,0.606717,0.618561,0,0.893942,0.893942
2015-12-31,0.567966,0,0.567966,0.851126,0.797,0.843065,0,0.964428,0.964428
2016-12-31,0.488523,0,0.488523,0.586613,0.550935,0.581299,0,0.855312,0.855312
2017-12-31,0.580337,0,0.580337,0.747831,0.654266,0.733896,0,0.749888,0.749888
