water_year,Rain(mm),Runoff(mm),Recharge(mm),ET_WaterBalance(mm),ET_Biological(mm)
1997,1011.94,255.58321721152643,124.93,631.4246561841791,708.188
1998,1011.94,311.95894076678826,59.3031,640.676189207213,622.105
1999,575.723,0.8466258852934085,49.2938,525.5826718121865,513.039
2000,1040.09,206.02204137923343,108.968,725.1033746599653,705.78
2001,871.271,168.73605220975315,107.414,595.1212776474098,573.164
2002,641.057,35.69459964421306,57.6254,547.7373310060908,544.085
2003,769.56,35.56222006391957,88.6212,645.376549546059,612.535
2004,836.711,19.751200752317462,122.285,694.6750883267292,683.539
2005,1020.81,296.757851284815,75.5897,648.4609814213633,613.644
2006,1054.16,373.07513684199955,74.3927,606.6921855664658,577.406
2007,1085.44,387.06506559477015,51.2586,647.1163045581719,630.914
2008,1074.52,250.6164727291639,76.9136,746.9899173106485,698.221
2009,803.14,84.34800311577813,72.4575,646.3344762672388,613.673
2010,1372.47,512.7470524047623,24.5757,835.1472257811249,815.464
2011,643.46,2.248932401672924,64.8331,576.3779667527676,578.802
2012,914.38,183.5233872244687,77.1858,653.6708336259542,635.825
2013,985.26,183.06341801797265,63.6742,738.5224184928152,717.018
2014,559.76,23.32830536777022,41.7357,494.6959552554164,468.685
2015,748.13,32.37739059215982,54.5647,661.1879405902899,633.08
2016,606.77,16.51754278310154,62.9181,527.3343780390901,509.819
2017,708.05,1.0570172010437178,46.352,660.6410263208444,668.244
