Date,Rain(mm),Runoff(mm),Recharge(mm),ET_WaterBalance(mm),ET_Biological(mm),water_year
1997-01-31,2.10163,0.0,0,2.1016290890000002,29.0986,1997
1997-02-28,19.6382,0.22626430801248704,0.223862,19.188052135917108,19.1219,1997
1997-03-31,0.653175,0.0,0,0.653174608,0.662846,1997
1997-04-30,30.1301,0.2424260442990933,0.510406,29.37728511643764,25.5498,1997
1997-05-31,20.6741,0.0,0.510406,20.163696044736735,22.1237,1997
1997-06-30,55.0689,0.24242604429909287,0.510406,54.316048962437634,52.7214,1997
1997-07-31,94.3018,0.2505069124423964,0.510406,93.54088346829434,89.6133,1997
1997-08-31,111.494,0.0,0.380647,111.11304549348489,109.813,1997
1997-09-30,251.924,54.01488133500696,64.8193,133.08972640886157,106.159,1997
1997-10-31,276.045,152.11334052996054,58.6499,65.28213901637389,97.6657,1997
1997-11-30,147.842,50.5084541944824,0.363639,96.96963633606897,109.897,1997
1997-12-31,2.06554,0.0,0,2.065538834,45.7619,1997
1998-01-31,2.10163,0.0,0,2.1016290890000002,10.1992,1998
1998-02-28,19.6382,0.0,0,19.638178769,15.7436,1998
1998-03-31,0.653175,0.0,0,0.653174608,0.656731,1998
1998-04-30,30.1301,0.2424260442990933,0.510406,29.37728511643764,16.6456,1998
1998-05-31,20.6741,0.0,0.510406,20.163696044736735,21.1821,1998
1998-06-30,55.0689,0.24242604429909287,0.510406,54.316048962437634,38.5995,1998
1998-07-31,94.3018,0.2505069124423964,0.510406,93.54088346829434,79.0341,1998
1998-08-31,111.494,0.0,0.36554,111.12815239671805,95.0432,1998
1998-09-30,251.924,56.30374114115106,57.9696,137.65055326301325,91.6767,1998
1998-10-31,276.045,206.2742526286841,0.37576,69.39539201865236,97.6657,1998
1998-11-30,147.842,50.5084541944824,0.363639,96.96963633606897,109.897,1998
1998-12-31,2.06554,0.0,0,2.065538834,45.7619,1998
1999-01-31,1.51642,0.0,0,1.516416053,9.97173,1999
1999-02-28,0.853843,0.0,0,0.853842942,3.49293,1999
1999-03-31,5.25313,0.0,0,5.253132875,5.25313,1999
1999-04-30,0.255931,0.0,0,0.255931496,0.255931,1999
1999-05-31,47.5813,0.0951051479662179,0,47.486181386033785,40.6639,1999
1999-06-30,31.0479,0.0,0,31.047911442,31.0496,1999
1999-07-31,100.119,0.2505069124423951,9.50708,90.36188205793579,73.3578,1999
1999-08-31,117.664,0.2505069124423951,16.3481,101.0651420106905,73.2977,1999
1999-09-30,62.2579,0.0,0.00410666,62.253788116742165,58.8363,1999
1999-10-31,172.751,0.2505069124424004,27.4303,145.07010707374147,108.501,1999
1999-11-30,33.8057,0.0,0,33.805680637,67.5314,1999
1999-12-31,2.61692,0.0,0,2.6169173050000003,40.8278,1999
2000-01-31,0.05,0.0,0,0.05,7.89081,2000
2000-02-29,105.6,0.23434517615578798,25.813,79.5526404359525,37.8455,2000
2000-03-31,0,0.0,0,0.0,6.59524,2000
2000-04-30,9.67,0.0,0,9.67,9.67,2000
2000-05-31,50.5,0.2505069124423964,0.510406,49.73908726029433,42.5069,2000
2000-06-30,132.53,0.2424260442990942,19.7588,112.52880858385498,73.4483,2000
2000-07-31,154.36,43.542397504483084,31.8991,78.91845490817258,72.7678,2000
2000-08-31,343.52,164.9827826688893,28.8562,149.68097306694696,136.081,2000
2000-09-30,69.15,0.0,0,69.15,78.8144,2000
2000-10-31,100.85,0.19418893527415237,2.43133,98.22448023927805,110.375,2000
2000-11-30,53.31,0.0,0,53.31,67.5071,2000
2000-12-31,20.5532,0.0,0,20.553182958,62.2768,2000
2001-01-31,9.27498,0.0,0,9.274979146,14.2918,2001
2001-02-28,0.867377,0.0,0,0.867376765,3.69391,2001
2001-03-31,4.10459,0.0,0,4.104594841,4.10459,2001
2001-04-30,67.7212,0.7895727840456743,23.6292,43.30242425321462,26.2686,2001
2001-05-31,9.57678,0.0,0.510406,9.066369415136732,9.58276,2001
2001-06-30,38.1844,0.0,0.510406,37.67397187573673,34.4089,2001
2001-07-31,51.0843,0.250506912442396,4.39429,46.43949205499855,31.9375,2001
2001-08-31,113.127,0.250506912442396,10.2146,102.66166802460614,82.6133,2001
2001-09-30,166.008,0.2424260442990942,22.2211,143.54445166360426,96.2608,2001
2001-10-31,281.983,128.75077028941638,46.0086,107.22397258806677,116.609,2001
2001-11-30,105.902,41.50002884548286,1.01269,63.38936715208907,97.2588,2001
2001-12-31,23.4372,0.0,0,23.437218101,56.1342,2001
2002-01-31,62.7945,0.2505069124423964,5.11133,57.43265200939057,39.8811,2002
2002-02-28,0.863952,0.0,0,0.8639515470000001,4.76996,2002
2002-03-31,5.49002,0.0,0,5.490016714,5.49002,2002
2002-04-30,6.30539,0.0,0,6.305388522,6.30539,2002
2002-05-31,33.3188,0.0,0,33.318796968,31.9145,2002
2002-06-30,52.6066,0.0,0,52.606641622,46.3077,2002
2002-07-31,43.8053,0.20130927800307832,0,43.60395406899692,35.5114,2002
2002-08-31,104.663,0.0,0,104.662531398,94.8812,2002
2002-09-30,43.8544,0.0,0,43.854427676,50.5943,2002
2002-10-31,217.984,29.481329611044234,48.1429,140.36018146691703,94.2412,2002
2002-11-30,69.0296,0.2424260442990933,11.9453,56.84189223618129,97.5804,2002
2002-12-31,0.341813,0.0,0,0.341812864,36.6079,2002
2003-01-31,3.24,0.0,0,3.24,9.84659,2003
2003-02-28,1.9,0.0,0,1.9000000000000001,4.40912,2003
2003-03-31,41.62,0.25050691244239687,0.510406,40.85908726029434,25.3593,2003
2003-04-30,11.55,0.0,0.510406,11.039594172736733,11.5649,2003
2003-05-31,5.36,0.0,0.510406,4.849594172736733,5.36,2003
2003-06-30,89.72,0.2424260442990942,13.8702,75.60733364767364,60.391,2003
2003-07-31,136.53,0.25050691244239687,7.85975,128.41973956816085,105.232,2003
2003-08-31,94.46,0.0,0.479639,93.98036104846304,79.553,2003
2003-09-30,151.65,0.24242604429909065,30.2635,121.14412405022378,81.0648,2003
2003-10-31,179.47,29.057326352012335,44.4697,105.94300457668692,115.105,2003
2003-11-30,21.08,0.0,0.0715093,21.008490736320464,63.7974,2003
2003-12-31,32.98,0.0,0,32.98,50.8521,2003
2004-01-31,15.9318,0.0,0,15.931787743,22.589,2004
