Year,Month,Tmin,Tmax,Tmean
Year1,1,20.4,31.5,25.95
Year1,2,22.0,33.7,27.86
Year1,3,24.4,36.4,30.4
Year1,4,26.2,38.2,32.17
Year1,5,28.2,40.3,34.22
Year1,6,28.1,39.0,33.56
Year1,7,25.7,34.5,30.12
Year1,8,25.3,33.0,29.16
Year1,9,24.9,32.6,28.76
Year1,10,23.9,31.2,27.56
Year1,11,22.0,31.0,26.48
Year1,12,17.9,29.8,23.89
Year10,1,18.4,31.5,24.93
Year10,2,19.9,33.2,26.53
Year10,3,23.2,36.4,29.77
Year10,4,25.6,38.2,31.87
Year10,5,27.9,40.5,34.17
Year10,6,26.3,35.5,30.9
Year10,7,25.9,34.7,30.3
Year10,8,25.0,33.0,29.01
Year10,9,24.6,32.1,28.36
Year10,10,23.4,32.1,27.76
Year10,11,19.9,31.6,25.79
Year10,12,19.3,31.3,25.29
Year11,1,17.9,31.9,24.87
Year11,2,21.0,32.7,26.87
Year11,3,22.2,34.4,28.31
Year11,4,24.9,37.3,31.11
Year11,5,27.4,41.0,34.22
Year11,6,26.3,36.8,31.54
Year11,7,25.2,35.3,30.23
Year11,8,24.5,33.0,28.74
Year11,9,24.2,33.5,28.88
Year11,10,22.9,33.2,28.09
Year11,11,20.8,31.3,26.02
Year11,12,18.6,31.2,24.9
Year12,1,17.7,31.6,24.65
Year12,2,20.3,34.8,27.54
Year12,3,22.5,36.5,29.49
Year12,4,25.4,39.0,32.22
Year12,5,26.8,40.0,33.38
Year12,6,26.4,38.1,32.27
Year12,7,25.8,35.4,30.63
Year12,8,25.4,34.8,30.09
Year12,9,24.8,33.8,29.31
Year12,10,23.5,33.6,28.57
Year12,11,21.9,31.2,26.55
Year12,12,19.3,30.1,24.7
Year13,1,18.9,30.7,24.91
Year13,2,20.5,33.8,27.17
Year13,3,23.5,37.5,30.48
Year13,4,26.4,39.8,33.14
Year13,5,27.0,39.7,33.4
Year13,6,26.2,37.3,31.85
Year13,7,24.6,32.9,28.91
Year13,8,24.3,33.4,28.89
Year13,9,24.0,32.6,28.33
Year13,10,23.5,32.5,28.02
Year13,11,22.3,31.2,26.7
Year13,12,18.2,29.7,24.03
Year14,1,16.2,31.3,23.76
Year14,2,18.7,32.9,25.84
Year14,3,21.7,36.4,29.08
Year14,4,24.7,37.1,30.88
Year14,5,26.9,40.1,33.51
Year14,6,25.8,37.2,31.54
Year14,7,24.9,34.8,29.89
Year14,8,24.7,33.7,29.2
Year14,9,24.8,34.6,29.67
Year14,10,23.9,33.9,28.9
Year14,11,20.4,32.0,26.25
Year14,12,18.4,31.2,24.88
Year15,1,17.7,31.5,24.63
Year15,2,19.1,34.2,26.69
Year15,3,23.0,37.3,30.13
Year15,4,25.8,38.3,32.1
Year15,5,27.6,41.1,34.32
Year15,6,27.0,38.5,32.77
Year15,7,25.0,34.5,29.73
Year15,8,24.9,34.3,29.61
Year15,9,24.8,34.0,29.42
Year15,10,23.0,33.1,28.05
Year15,11,20.5,31.7,26.11
Year15,12,18.9,31.5,25.19
Year16,1,19.0,32.4,25.73
Year16,2,20.2,33.2,26.72
Year16,3,22.7,36.5,29.59
Year16,4,26.2,38.9,32.55
Year16,5,28.3,40.9,34.62
Year16,6,26.2,36.3,31.19
Year16,7,24.7,32.5,28.62
Year16,8,24.6,33.1,28.87
Year16,9,24.5,33.3,28.9
Year16,10,24.0,32.4,28.3
Year16,11,21.1,31.3,26.18
Year16,12,18.0,30.4,24.24
Year17,1,18.7,30.7,24.91
Year17,2,19.7,32.7,26.37
Year17,3,22.5,34.9,28.71
Year17,4,25.5,38.4,32.08
Year17,5,26.9,39.0,33.09
Year17,6,27.5,38.6,33.24
Year17,7,25.8,34.7,30.26
Year17,8,25.6,34.7,30.14
Year17,9,24.9,33.6,29.33
Year17,10,23.9,33.3,28.6
Year17,11,20.9,31.3,26.1
Year17,12,18.9,30.0,24.47
Year18,1,18.1,30.9,24.52
Year18,2,19.2,33.2,26.29
Year18,3,22.8,35.6,29.21
Year18,4,24.8,37.1,31.01
Year18,5,27.7,40.2,33.99
Year18,6,26.2,35.9,31.09
Year18,7,26.8,37.4,32.11
Year18,8,25.7,35.3,30.48
Year18,9,25.4,34.3,29.86
Year18,10,24.5,34.6,29.55
Year18,11,22.4,31.5,26.98
Year18,12,20.5,32.2,26.36
Year19,1,19.1,31.9,25.54
Year19,2,21.6,34.9,28.28
Year19,3,24.4,37.4,30.92
Year19,4,27.3,40.6,33.94
Year19,5,27.3,39.4,33.37
Year19,6,25.8,35.1,30.49
Year19,7,25.5,34.3,29.94
Year19,8,25.6,34.6,30.14
Year19,9,24.8,32.1,28.45
Year19,10,23.0,34.0,28.48
Year19,11,20.3,33.0,26.66
Year19,12,18.8,31.3,25.04
Year2,1,17.4,30.3,23.85
Year2,2,19.7,33.0,26.35
Year2,3,22.9,36.4,29.62
Year2,4,25.8,39.3,32.53
Year2,5,26.6,37.9,32.28
Year2,6,25.9,36.2,31.06
Year2,7,25.4,34.7,30.05
Year2,8,24.9,33.5,29.18
Year2,9,24.8,33.2,29.04
Year2,10,23.9,31.9,27.88
Year2,11,21.2,31.4,26.34
Year2,12,18.2,30.2,24.22
Year20,1,18.9,31.5,25.19
Year20,2,20.0,34.2,27.12
Year20,3,23.2,36.7,29.97
Year20,4,26.6,40.0,33.33
Year20,5,27.9,40.5,34.2
Year20,6,26.3,36.3,31.29
Year20,7,25.7,35.1,30.42
Year20,8,25.0,33.6,29.33
Year20,9,24.9,33.5,29.24
Year20,10,24.1,33.1,28.63
Year20,11,21.5,32.2,26.86
Year20,12,18.4,31.4,24.89
Year3,1,18.7,31.5,25.1
Year3,2,21.8,32.3,27.05
Year3,3,22.4,35.6,28.99
Year3,4,26.3,39.0,32.62
Year3,5,27.3,39.5,33.36
Year3,6,25.5,34.4,29.97
Year3,7,24.7,32.7,28.71
Year3,8,24.2,32.0,28.06
Year3,9,24.7,33.6,29.15
Year3,10,23.3,32.9,28.11
Year3,11,21.1,31.5,26.3
Year3,12,17.6,29.9,23.74
Year4,1,18.4,30.5,24.49
Year4,2,19.9,34.3,27.14
Year4,3,23.8,36.3,30.07
Year4,4,25.7,36.9,31.31
Year4,5,28.7,41.1,34.88
Year4,6,26.9,36.7,31.8
Year4,7,26.4,35.6,30.98
Year4,8,24.9,33.3,29.11
Year4,9,24.8,33.8,29.27
Year4,10,23.8,31.5,27.63
Year4,11,22.1,31.1,26.6
Year4,12,18.6,29.6,24.11
Year5,1,19.2,30.5,24.86
Year5,2,20.4,32.4,26.4
Year5,3,23.2,36.4,29.79
Year5,4,26.6,38.6,32.57
Year5,5,27.9,40.0,33.99
Year5,6,26.5,36.1,31.31
Year5,7,26.3,36.2,31.26
Year5,8,24.9,33.3,29.06
Year5,9,25.2,35.1,30.16
Year5,10,24.0,32.8,28.43
Year5,11,20.5,31.2,25.82
Year5,12,18.2,31.3,24.71
Year6,1,18.7,31.2,24.98
Year6,2,21.8,34.1,27.98
Year6,3,23.7,36.3,30.0
Year6,4,26.4,38.9,32.64
Year6,5,28.8,41.6,35.22
Year6,6,27.9,39.3,33.63
Year6,7,25.6,34.2,29.9
Year6,8,25.3,33.4,29.36
Year6,9,25.2,34.3,29.78
Year6,10,24.1,32.8,28.47
Year6,11,21.8,31.9,26.85
Year6,12,18.9,30.5,24.74
Year7,1,18.3,30.8,24.55
Year7,2,19.7,33.2,26.43
Year7,3,22.6,37.3,29.94
Year7,4,26.3,38.9,32.58
Year7,5,26.3,36.8,31.56
Year7,6,26.6,36.7,31.67
Year7,7,25.5,34.4,29.92
Year7,8,25.8,34.6,30.19
Year7,9,24.6,33.2,28.92
Year7,10,23.5,32.2,27.86
