,Month,Month,Days,T (min),T (max),T (mean)
Year1,1,Jan,31,20.4,31.5,25.95
Year1,2,Feb,28,22.0,33.7,27.86
Year1,3,Mar,31,24.4,36.4,30.40
Year1,4,Apr,30,26.2,38.2,32.17
Year1,5,May,31,28.2,40.3,34.22
Year1,6,Jun,30,28.1,39.0,33.56
Year1,7,Jul,31,25.7,34.5,30.12
Year1,8,Aug,31,25.3,33.0,29.16
Year1,9,Sep,30,24.9,32.6,28.76
Year1,10,Oct,31,23.9,31.2,27.56
Year1,11,Nov,30,22.0,31.0,26.48
Year1,12,Dec,31,17.9,29.8,23.89
Year2,1,Jan,31,17.4,30.3,23.85
Year2,2,Feb,28,19.7,33.0,26.35
Year2,3,Mar,31,22.9,36.4,29.62
Year2,4,Apr,30,25.8,39.3,32.53
Year2,5,May,31,26.6,37.9,32.28
Year2,6,Jun,30,25.9,36.2,31.06
Year2,7,Jul,31,25.4,34.7,30.05
Year2,8,Aug,31,24.9,33.5,29.18
Year2,9,Sep,30,24.8,33.2,29.04
Year2,10,Oct,31,23.9,31.9,27.88
Year2,11,Nov,30,21.2,31.4,26.34
Year2,12,Dec,31,18.2,30.2,24.22
year3,1,Jan,31,18.7,31.5,25.10
year3,2,Feb,28,21.8,32.3,27.05
year3,3,Mar,31,22.4,35.6,28.99
year3,4,Apr,30,26.3,39.0,32.62
year3,5,May,31,27.3,39.5,33.36
year3,6,Jun,30,25.5,34.4,29.97
year3,7,Jul,31,24.7,32.7,28.71
year3,8,Aug,31,24.2,32.0,28.06
year3,9,Sep,30,24.7,33.6,29.15
year3,10,Oct,31,23.3,32.9,28.11
year3,11,Nov,30,21.1,31.5,26.30
year3,12,Dec,31,17.6,29.9,23.74
year4,1,Jan,31,18.4,30.5,24.49
year4,2,Feb,28,19.9,34.3,27.14
year4,3,Mar,31,23.8,36.3,30.07
year4,4,Apr,30,25.7,36.9,31.31
year4,5,May,31,28.7,41.1,34.88
year4,6,Jun,30,26.9,36.7,31.80
year4,7,Jul,31,26.4,35.6,30.98
year4,8,Aug,31,24.9,33.3,29.11
year4,9,Sep,30,24.8,33.8,29.27
year4,10,Oct,31,23.8,31.5,27.63
year4,11,Nov,30,22.1,31.1,26.60
year4,12,Dec,31,18.6,29.6,24.11
year5,1,Jan,31,19.2,30.5,24.86
year5,2,Feb,28,20.4,32.4,26.40
year5,3,Mar,31,23.2,36.4,29.79
year5,4,Apr,30,26.6,38.6,32.57
year5,5,May,31,27.9,40.0,33.99
year5,6,Jun,30,26.5,36.1,31.31
year5,7,Jul,31,26.3,36.2,31.26
year5,8,Aug,31,24.9,33.3,29.06
year5,9,Sep,30,25.2,35.1,30.16
year5,10,Oct,31,24.0,32.8,28.43
year5,11,Nov,30,20.5,31.2,25.82
year5,12,Dec,31,18.2,31.3,24.71
year6,1,Jan,31,18.7,31.2,24.98
year6,2,Feb,28,21.8,34.1,27.98
year6,3,Mar,31,23.7,36.3,30.00
year6,4,Apr,30,26.4,38.9,32.64
year6,5,May,31,28.8,41.6,35.22
year6,6,Jun,30,27.9,39.3,33.63
year6,7,Jul,31,25.6,34.2,29.90
year6,8,Aug,31,25.3,33.4,29.36
year6,9,Sep,30,25.2,34.3,29.78
year6,10,Oct,31,24.1,32.8,28.47
year6,11,Nov,30,21.8,31.9,26.85
year6,12,Dec,31,18.9,30.5,24.74
year7,1,Jan,31,18.3,30.8,24.55
year7,2,Feb,28,19.7,33.2,26.43
year7,3,Mar,31,22.6,37.3,29.94
year7,4,Apr,30,26.3,38.9,32.58
year7,5,May,31,26.3,36.8,31.56
year7,6,Jun,30,26.6,36.7,31.67
year7,7,Jul,31,25.5,34.4,29.92
year7,8,Aug,31,25.8,34.6,30.19
year7,9,Sep,30,24.6,33.2,28.92
year7,10,Oct,31,23.5,32.2,27.86
year7,11,Nov,30,20.6,31.2,25.89
year7,12,Dec,31,17.8,31.1,24.45
year8,1,Jan,31,19.6,31.9,25.77
year8,2,Feb,28,20.6,34.3,27.44
year8,3,Mar,31,23.5,36.6,30.05
year8,4,Apr,30,26.0,37.7,31.83
year8,5,May,31,27.5,40.2,33.83
year8,6,Jun,30,27.7,38.6,33.16
year8,7,Jul,31,25.6,34.4,29.98
year8,8,Aug,31,25.4,33.9,29.69
year8,9,Sep,30,24.9,32.9,28.90
year8,10,Oct,31,24.1,31.7,27.92
year8,11,Nov,30,20.2,30.3,25.23
year8,12,Dec,31,18.7,30.0,24.37
year9,1,Jan,31,17.8,31.5,24.66
year9,2,Feb,28,18.5,33.9,26.20
year9,3,Mar,31,23.1,35.5,29.29
year9,4,Apr,30,26.1,38.3,32.23
year9,5,May,31,27.1,38.8,32.95
year9,6,Jun,30,26.3,36.3,31.27
year9,7,Jul,31,26.0,35.0,30.54
year9,8,Aug,31,25.5,34.3,29.91
year9,9,Sep,30,25.2,33.9,29.57
year9,10,Oct,31,24.1,33.0,28.55
year9,11,Nov,30,22.2,30.9,26.52
year9,12,Dec,31,18.9,30.8,24.84
year10,1,Jan,31,18.4,31.5,24.93
year10,2,Feb,28,19.9,33.2,26.53
year10,3,Mar,31,23.2,36.4,29.77
year10,4,Apr,30,25.6,38.2,31.87
year10,5,May,31,27.9,40.5,34.17
year10,6,Jun,30,26.3,35.5,30.90
year10,7,Jul,31,25.9,34.7,30.30
year10,8,Aug,31,25.0,33.0,29.01
year10,9,Sep,30,24.6,32.1,28.36
year10,10,Oct,31,23.4,32.1,27.76
year10,11,Nov,30,19.9,31.6,25.79
year10,12,Dec,31,19.3,31.3,25.29
year11,1,Jan,31,17.9,31.9,24.87
year11,2,Feb,28,21.0,32.7,26.87
year11,3,Mar,31,22.2,34.4,28.31
year11,4,Apr,30,24.9,37.3,31.11
year11,5,May,31,27.4,41.0,34.22
year11,6,Jun,30,26.3,36.8,31.54
year11,7,Jul,31,25.2,35.3,30.23
year11,8,Aug,31,24.5,33.0,28.74
year11,9,Sep,30,24.2,33.5,28.88
year11,10,Oct,31,22.9,33.2,28.09
year11,11,Nov,30,20.8,31.3,26.02
year11,12,Dec,31,18.6,31.2,24.90
year12,1,Jan,31,17.7,31.6,24.65
year12,2,Feb,28,20.3,34.8,27.54
year12,3,Mar,31,22.5,36.5,29.49
year12,4,Apr,30,25.4,39.0,32.22
year12,5,May,31,26.8,40.0,33.38
year12,6,Jun,30,26.4,38.1,32.27
year12,7,Jul,31,25.8,35.4,30.63
year12,8,Aug,31,25.4,34.8,30.09
year12,9,Sep,30,24.8,33.8,29.31
year12,10,Oct,31,23.5,33.6,28.57
year12,11,Nov,30,21.9,31.2,26.55
year12,12,Dec,31,19.3,30.1,24.70
year13,1,Jan,31,18.9,30.7,24.91
year13,2,Feb,28,20.5,33.8,27.17
year13,3,Mar,31,23.5,37.5,30.48
year13,4,Apr,30,26.4,39.8,33.14
year13,5,May,31,27.0,39.7,33.40
year13,6,Jun,30,26.2,37.3,31.85
year13,7,Jul,31,24.6,32.9,28.91
year13,8,Aug,31,24.3,33.4,28.89
year13,9,Sep,30,24.0,32.6,28.33
year13,10,Oct,31,23.5,32.5,28.02
year13,11,Nov,30,22.3,31.2,26.70
year13,12,Dec,31,18.2,29.7,24.03
year14,1,Jan,31,16.2,31.3,23.76
year14,2,Feb,28,18.7,32.9,25.84
year14,3,Mar,31,21.7,36.4,29.08
year14,4,Apr,30,24.7,37.1,30.88
year14,5,May,31,26.9,40.1,33.51
year14,6,Jun,30,25.8,37.2,31.54
year14,7,Jul,31,24.9,34.8,29.89
year14,8,Aug,31,24.7,33.7,29.20
year14,9,Sep,30,24.8,34.6,29.67
year14,10,Oct,31,23.9,33.9,28.90
year14,11,Nov,30,20.4,32.0,26.25
year14,12,Dec,31,18.4,31.2,24.88
year15,1,Jan,31,17.7,31.5,24.63
year15,2,Feb,28,19.1,34.2,26.69
year15,3,Mar,31,23.0,37.3,30.13
year15,4,Apr,30,25.8,38.3,32.10
year15,5,May,31,27.6,41.1,34.32
year15,6,Jun,30,27.0,38.5,32.77
year15,7,Jul,31,25.0,34.5,29.73
year15,8,Aug,31,24.9,34.3,29.61
year15,9,Sep,30,24.8,34.0,29.42
year15,10,Oct,31,23.0,33.1,28.05
year15,11,Nov,30,20.5,31.7,26.11
year15,12,Dec,31,18.9,31.5,25.19
year16,1,Jan,31,19.0,32.4,25.73
year16,2,Feb,28,20.2,33.2,26.72
year16,3,Mar,31,22.7,36.5,29.59
year16,4,Apr,30,26.2,38.9,32.55
year16,5,May,31,28.3,40.9,34.62
year16,6,Jun,30,26.2,36.3,31.19
year16,7,Jul,31,24.7,32.5,28.62
year16,8,Aug,31,24.6,33.1,28.87
year16,9,Sep,30,24.5,33.3,28.90
year16,10,Oct,31,24.0,32.4,28.30
year16,11,Nov,30,21.1,31.3,26.18
year16,12,Dec,31,18.0,30.4,24.24
year17,1,Jan,31,18.7,30.7,24.91
year17,2,Feb,28,19.7,32.7,26.37
year17,3,Mar,31,22.5,34.9,28.71
year17,4,Apr,30,25.5,38.4,32.08
