,Value
Time_Period,20.0
Interest_Rate,7.0
Farm_Pond_Vol,0.0
Farm_Pond_Depth,2.5
Farm_Pond_Inf_Rate,7.0
Farm_Pond_Cost,80.0
Farm_Pond_Life_Span,10.0
Farm_Pond_Maintenance,5.0
Farm_Pond_Lined_Vol,0.0
Farm_Pond_Lined_Depth,2.0
Farm_Pond_Lined_Inf_Rate,3.0
Farm_Pond_Lined_Cost,120.0
Farm_Pond_Lined_Life_Span,10.0
Farm_Pond_Lined_Maintenance,6.0
Check_Dam_Vol,0.0
Check_Dam_Depth,2.5
Check_Dam_Inf_Rate,7.0
Check_Dam_Cost,120.0
Check_Dam_Life_Span,15.0
Check_Dam_Maintenance,3.0
Infiltration_Pond_Vol,0.0
Infiltration_Pond_Depth,1.0
Infiltration_Pond_Inf_Rate,50.0
Infiltration_Pond_Cost,85.0
Infiltration_Pond_Life_Span,7.0
Infiltration_Pond_Maintenance,4.0
Injection_Wells_Vol,0.0
Injection_Wells_Nos,0.0
Injection_Wells_Cost,20000.0
Injection_Wells_Life_Span,15.0
Injection_Wells_Maintenance,2.0
Kharif_Crop_Drip_Area,
Rabi_Crop_Drip_Area,
Summer_Crop_Drip_Area,
Eff_Drip_irrigation,
Drip_Irr_Cost,nan
Drip_Irr_Life_Span,nan
Drip_Irr_Maintenance,nan
Kharif_Crop_Sprinkler_Area,
Rabi_Crop_Sprinkler_Area,
Summer_Crop_Sprinkler_Area,
Eff_Sprinkler_irrigation,
Sprinkler_Irr_Cost,nan
Sprinkler_Irr_Life_Span,nan
Sprinkler_Irr_Maintenance,nan
Kharif_Crop_Land_Levelling_Area,
Rabi_Crop_Land_Levelling_Area,
Summer_Crop_Land_Levelling_Area,
Eff_Land_Levelling,
Land_Levelling_Cost,nan
Land_Levelling_Life_Span,nan
Land_Levelling_Maintenance,nan
Kharif_Crop_DSR_Area,
Rabi_Crop_DSR_Area,
Summer_Crop_DSR_Area,
Eff_Direct_Seeded_Rice,
Direct_Seeded_Rice_Cost,nan
Direct_Seeded_Rice_Life_Span,nan
Kharif_Crop_AWD_Area,
Rabi_Crop_AWD_Area,
Summer_Crop_AWD_Area,
Eff_Alternate_Wetting_And_Dry,
Alternate_Wetting_And_Dry_Cost,nan
Alternate_Wetting_And_Dry_Life_Span,nan
Kharif_Crop_SRI_Area,
Rabi_Crop_SRI_Area,
Summer_Crop_SRI_Area,
Eff_SRI,
SRI_Cost,nan
SRI_Life_Span,nan
Kharif_Crop_Ridge_Furrow_Area,
Rabi_Crop_Ridge_Furrow_Area,
Summer_Crop_Ridge_Furrow_Area,
Eff_Ridge_Furrow_Irrigation,
Ridge_Furrow_Irrigation_Cost,nan
Ridge_Furrow_Irrigation_Life_Span,nan
Kharif_Crop_Deficit_Area,
Rabi_Crop_Deficit_Area,
Summer_Crop_Deficit_Area,
Eff_Deficit_Irrigation,
Deficit_Irrigation_Cost,nan
Deficit_Irrigation_Life_Span,nan
Kharif_Crop_Cover_Crops_Area,
Rabi_Crop_Cover_Crops_Area,
Summer_Crop_Cover_Crops_Area,
Red_CN_Cover_Crops,nan
Cover_Crops_Cost,nan
Cover_Crops_Life_Span,nan
Cover_Crops_Eva_Red,nan
Kharif_Crop_Mulching_Area,
Rabi_Crop_Mulching_Area,
Summer_Crop_Mulching_Area,
Red_CN_Mulching,nan
Mulching_Cost,nan
Mulching_Life_Span,nan
Mulching_Eva_Red,nan
Kharif_Crop_BBF_Area,
Rabi_Crop_BBF_Area,
Summer_Crop_BBF_Area,
Red_CN_BBF,nan
BBF_Cost,nan
BBF_Life_Span,nan
BBF_Maintenance,nan
Eff_BBF,nan
Kharif_Crop_Bunds_Area,
Rabi_Crop_Bunds_Area,
Summer_Crop_Bunds_Area,
Red_CN_Bund,nan
Bund_Cost,nan
Bund_Life_Span,nan
Bund_Maintenance,nan
Kharif_Crop_Tillage_Area,
Rabi_Crop_Tillage_Area,
Summer_Crop_Tillage_Area,
Red_CN_Tillage,nan
Tillage_Cost,nan
Tillage_Life_Span,nan
Tillage_Eva_Red,nan
Kharif_Crop_Tank_Area,
Rabi_Crop_Tank_Area,
Summer_Crop_Tank_Area,
Red_CN_Tank,nan
Tank_Desilting_Life_Span,nan
Tank_Eva_Red,nan
Tank_Desilting_Vol,nan
Tank_Desilting_Depth,nan
Tank_Desilting_Cost,nan
