Date,Plot_Chilli,kc_ini_Chilli,kc_dev_Chilli,kc_mid_Chilli,kc_end_Chilli,RG_days_Chilli,Plot_Tobacco,kc_ini_Tobacco,kc_dev_Tobacco,kc_mid_Tobacco,kc_end_Tobacco,RG_days_Tobacco,Plot_Pulses,kc_ini_Pulses,kc_dev_Pulses,kc_mid_Pulses,kc_end_Pulses,RG_days_Pulses,Kci_Chilli,Kci_Tobacco,Kci_Pulses,Kci_plot 1,Kci_plot 2,Kci_plot 3,Stage_1_Chilli,Stage_1_Tobacco,Stage_1_Pulses,Stage_1_plot 1,Stage_1_plot 2,Stage_1_plot 3,Kei_plot 1,Kei_plot 2,Kei_plot 3,Chilli_crop_rd,Tobacco_crop_rd,Pulses_crop_rd,crop_rd_plot 1,crop_rd_plot 2,crop_rd_plot 3,Chilli_depletion,Tobacco_depletion,Pulses_depletion,final_depletion_plot 1,final_depletion_plot 2,final_depletion_plot 3,Chilli_Sown_Area,Tobacco_Sown_Area,Pulses_Sown_Area,Ze,TAWi_plot 1,TAWi_plot 2,TAWi_plot 3,RAWi_plot 1,RAWi_plot 2,RAWi_plot 3,TEWi_plot 1,TEWi_plot 2,TEWi_plot 3,REWi_plot 1,REWi_plot 2,REWi_plot 3,TEWi,REWi,plot 1_NSA,plot 2_NSA,plot 3_NSA,eva_red_area_Chilli,eva_red_Chilli,eva_red_area_Tobacco,eva_red_Tobacco,eva_red_area_Pulses,eva_red_Pulses,Final_Evap_Red_Chilli,Final_Evap_Red_Tobacco,Final_Evap_Red_Pulses,Final_Evap_Red_plot 1,Final_Evap_Red_plot 2,Final_Evap_Red_plot 3,Chilli_CN2,Tobacco_CN2,Pulses_CN2,Actual Crop Sown Area,consolidated_crop_cn2,Fallow_area,Builtup_area,Waterbodies_area,Pasture,Forest,Crop_Area,Fallow_Area,Fallowcn2,Final_cn2,Final_CN2,Final_CN1,Final_CN3,Dormant,AMC,SMDi_shifted_plot 1,SMDi_shifted_plot 2,SMDi_shifted_plot 3,SMDi_plot 1,SMDi_plot 2,SMDi_plot 3,Ks_soil_cond_plot 1,Ks_soil_plot 1,AE_soil_plot 1,Ks_crop_cond_plot 1,Ks_crop_plot 1,AE_crop_plot 1,Ks_soil_cond_plot 2,Ks_soil_plot 2,AE_soil_plot 2,Ks_crop_cond_plot 2,Ks_crop_plot 2,AE_crop_plot 2,Ks_soil_cond_plot 3,Ks_soil_plot 3,AE_soil_plot 3,Ks_crop_cond_plot 3,Ks_crop_plot 3,AE_crop_plot 3,AE_crop_Chilli,AE_crop_Tobacco,AE_crop_Pulses,AE_soil_Chilli,AE_soil_Tobacco,AE_soil_Pulses,GWnr,GWnr_plot 1,GWnr_plot 2,GWnr_plot 3,GWnr_Fallow,Fallow Area Recharge,Recharge,IWR_Chilli,IWR_Tobacco,IWR_Pulses
1998-01-01,plot 1,0,0,0,0,0,plot 2,0,0,0,0,0,plot 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,1.05,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,27,27,27,10.8,10.8,10.8,27,10.8,712,1880,1150,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,5058,0.0695704,0.0520291,0.0631782,0.0633269,0,0.751895,91.925,84.8033,82.9975,70.9847,92.8921,Y,1,0,0,0,4.29454,4.29454,4.29454,1,1,4.29454,0,0,0,1,1,4.29454,0,0,0,1,1,4.29454,0,0,0,0,0,0,4.29454,4.29454,4.29454,0,0,0,0,0,2019,0,0,0,0
1998-01-02,plot 1,0,0,0,0,0,plot 2,0,0,0,0,0,plot 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,1.05,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,27,27,27,10.8,10.8,10.8,27,10.8,712,1880,1150,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,5058,0.0695704,0.0520291,0.0631782,0.0633269,0,0.751895,91.925,84.8033,82.9975,70.9847,92.8921,Y,1,4.29454,4.29454,4.29454,8.54008,8.54008,8.54008,1,1,4.29454,0,0,0,1,1,4.29454,0,0,0,1,1,4.29454,0,0,0,0,0,0,4.29454,4.29454,4.29454,0,0,0,0,0,2019,0,0,0,0
1998-01-03,plot 1,0,0,0,0,0,plot 2,0,0,0,0,0,plot 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,1.05,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,27,27,27,10.8,10.8,10.8,27,10.8,712,1880,1150,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,5058,0.0695704,0.0520291,0.0631782,0.0633269,0,0.751895,91.925,84.8033,82.9975,70.9847,92.8921,Y,1,8.54008,8.54008,8.54008,12.7096,12.7096,12.7096,1,1,4.29454,0,0,0,1,1,4.29454,0,0,0,1,1,4.29454,0,0,0,0,0,0,4.29454,4.29454,4.29454,0,0,0,0,0,2019,0,0,0,0
1998-01-04,plot 1,0,0,0,0,0,plot 2,0,0,0,0,0,plot 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,1.05,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,27,27,27,10.8,10.8,10.8,27,10.8,712,1880,1150,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,5058,0.0695704,0.0520291,0.0631782,0.0633269,0,0.751895,91.925,84.8033,82.9975,70.9847,92.8921,Y,1,12.7096,12.7096,12.7096,16.4977,16.4977,16.4977,2,0.882126,3.78835,0,0,0,2,0.882126,3.78835,0,0,0,2,0.882126,3.78835,0,0,0,0,0,0,3.78835,3.78835,3.78835,0,0,0,0,0,2019,0,0,0,0
1998-01-05,plot 1,0,0,0,0,0,plot 2,0,0,0,0,0,plot 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,1.05,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,27,27,27,10.8,10.8,10.8,27,10.8,712,1880,1150,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,5058,0.0695704,0.0520291,0.0631782,0.0633269,0,0.751895,91.925,84.8033,82.9975,70.9847,92.8921,Y,1,16.4977,16.4977,16.4977,18.9614,18.9614,18.9614,2,0.648293,2.95794,0,0,0,2,0.648293,2.95794,0,0,0,2,0.648293,2.95794,0,0,0,0,0,0,2.95794,2.95794,2.95794,0,0,0,0,0,2019,0,0,0,0
1998-01-06,plot 1,0,0,0,0,0,plot 2,0,0,0,0,0,plot 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,1.05,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,27,27,27,10.8,10.8,10.8,27,10.8,712,1880,1150,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,5058,0.0695704,0.0520291,0.0631782,0.0633269,0,0.751895,91.925,84.8033,82.9975,70.9847,92.8921,Y,1,18.9614,18.9614,18.9614,21.0924,21.0924,21.0924,2,0.496212,2.131,0,0,0,2,0.496212,2.131,0,0,0,2,0.496212,2.131,0,0,0,0,0,0,2.131,2.131,2.131,0,0,0,0,0,2019,0,0,0,0
1998-01-07,plot 1,0,0,0,0,0,plot 2,0,0,0,0,0,plot 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,1.05,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,27,27,27,10.8,10.8,10.8,27,10.8,712,1880,1150,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,5058,0.0695704,0.0520291,0.0631782,0.0633269,0,0.751895,91.925,84.8033,82.9975,70.9847,92.8921,Y,1,21.0924,21.0924,21.0924,22.6585,22.6585,22.6585,2,0.364669,1.56608,0,0,0,2,0.364669,1.56608,0,0,0,2,0.364669,1.56608,0,0,0,0,0,0,1.56608,1.56608,1.56608,0,0,0,0,0,2019,0,0,0,0
1998-01-08,plot 1,0,0,0,0,0,plot 2,0,0,0,0,0,plot 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,1.05,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,27,27,27,10.8,10.8,10.8,27,10.8,712,1880,1150,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,5058,0.0695704,0.0520291,0.0631782,0.0633269,0,0.751895,91.925,84.8033,82.9975,70.9847,92.8921,Y,1,22.6585,22.6585,22.6585,23.8094,23.8094,23.8094,2,0.267997,1.15092,0,0,0,2,0.267997,1.15092,0,0,0,2,0.267997,1.15092,0,0,0,0,0,0,1.15092,1.15092,1.15092,0,0,0,0,0,2019,0,0,0,0
1998-01-09,plot 1,0,0,0,0,0,plot 2,0,0,0,0,0,plot 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,1.05,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,27,27,27,10.8,10.8,10.8,27,10.8,712,1880,1150,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,5058,0.0695704,0.0520291,0.0631782,0.0633269,0,0.751895,91.925,84.8033,82.9975,70.9847,92.8921,Y,1,23.8094,23.8094,23.8094,24.6552,24.6552,24.6552,2,0.196952,0.845818,0,0,0,2,0.196952,0.845818,0,0,0,2,0.196952,0.845818,0,0,0,0,0,0,0.845819,0.845819,0.845819,0,0,0,0,0,2019,0,0,0,0
1998-01-10,plot 1,0,0,0,0,0,plot 2,0,0,0,0,0,plot 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,1.05,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,27,27,27,10.8,10.8,10.8,27,10.8,712,1880,1150,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,5058,0.0695704,0.0520291,0.0631782,0.0633269,0,0.751895,91.925,84.8033,82.9975,70.9847,92.8921,Y,1,24.6552,24.6552,24.6552,25.2768,25.2768,25.2768,2,0.144741,0.621596,0,0,0,2,0.144741,0.621596,0,0,0,2,0.144741,0.621596,0,0,0,0,0,0,0.621596,0.621596,0.621596,0,0,0,0,0,2019,0,0,0,0
