water_year,Rain(mm),Runoff(mm),Recharge(mm),ET(mm),ET_Bio(mm)
1998,1011.94,266.05606367782707,132.837,613.0447979974166,1108.58
1999,575.723,50.976016491502506,13.4785,511.26857888746713,872.068
2000,1040.09,285.59358933364723,44.0778,710.4218444521089,1109.83
2001,871.271,205.42019003722217,91.0592,574.791571339341,1143.65
2002,641.057,63.70354447533715,41.7009,535.6529115076931,1000.93
2003,769.56,107.60542305984325,36.734,625.2205995863312,981.26
2004,836.711,108.13783154524417,57.0441,671.5294871617151,1107.44
2005,1020.81,283.85019013894214,115.188,621.7701470552059,1103.79
2006,1054.16,391.745949405085,84.8762,577.5378588073219,1106.13
2007,1085.44,368.05838025999446,94.5116,622.8700279852128,1096.91
2008,1074.52,284.58919997199274,75.3031,714.6276745883449,1258.43
2009,803.14,98.33759387191931,75.9551,628.8473361653256,1207.72
2010,1372.47,454.75926416237166,99.8184,817.8923042810187,1433.53
2011,643.46,36.0132840704552,46.5558,560.8909559735805,1043.93
2012,914.38,245.54465857454957,41.4311,627.404274834141,1090.5
2013,985.26,214.54280629219136,58.9831,711.7341430974703,1181.16
2014,559.76,82.16622694733084,4.85938,472.73439315176336,866.027
2015,748.13,70.48867620329904,31.3722,646.269079846756,1167.83
2016,606.77,91.26866620868941,10.6028,504.898538610028,822.968
2017,708.05,26.53418097821293,30.6651,650.850739740732,1034.73
