Date,Year,Month,Tmin,Tmax,Tmean,Rain,Days,ETom,ETci_Chilli,ETci_Tobacco,ETci_Pulses,ETci_plot 1,ETci_plot 2,ETci_plot 3,RG_days_Chilli,RG_days_Tobacco,RG_days_Pulses,Irr_Area_Chilli,Rainfed_Area_Chilli,Irr_Area_Tobacco,Rainfed_Area_Tobacco,Irr_Area_Pulses,Rainfed_Area_Pulses,Qom,Qom(m^3),GWnrm_plot 1,GWnrm_plot 2,GWnrm_plot 3,GWnrm_Fallow,Recharge,IWR_Chilli,AE_soil_Chilli,AE_crop_Chilli,IWR_Tobacco,AE_soil_Tobacco,AE_crop_Tobacco,IWR_Pulses,AE_soil_Pulses,AE_crop_Pulses,Irrigation_eff_Chilli,Irr_water_need_Chilli,Irrigation_eff_Tobacco,Irr_water_need_Tobacco,Irrigation_eff_Pulses,Irr_water_need_Pulses,Irr_water_need,Total Irrigated Area,Total Rainfed Area,Residual_storage,Accumulated_natural_recharge,Potential_ET,Canal_supply,IWR_after_canal,Potential_recharge,Domestic_need,Other_need,GW_need,SW_need,SW_abstracted,value_after_subtracting_domestic_SW_use,Value after Rejected Recharge,Storage,all_req_met,Actual_Recharge,Actual_ET,Actual_IWR,Runoff_captured,Runoff_left_after_storage,Runoff in GW recharge str,added_monthly_recharge,Cumulative_storage_monthly,GW_abstracted,Cumulative_left_after_domestic_abstraction,GW_extracted,Cumulative_left_after_crop_abstraction,Rejected_recharge,GW_left_after_rejected_recharge,Captured Runoff in m³,Actual_Recharge_mm,Runoff in GW recharge str_mm,Captured Runoff in m³_mm,Rejected_recharge_mm,Percent_Irr_Water_Req_Fulfilled,Irr_CWR_met_Chilli,Rainfed_CWR_met_Chilli,%Irr_CWR_met_Chilli,%Rainfed_CWR_met_Chilli,Irr_CWR_met_Tobacco,Rainfed_CWR_met_Tobacco,%Irr_CWR_met_Tobacco,%Rainfed_CWR_met_Tobacco,Irr_CWR_met_Pulses,Rainfed_CWR_met_Pulses,%Irr_CWR_met_Pulses,%Rainfed_CWR_met_Pulses,runoff to recharge,final_ro,Final_Runoff,Final_Recharge,Final_ET_Bio,Final_ET
1998-01-31,Year1,1,20.4,31.5,25.95,2.10163,31,126.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2852.8,0,0,11445,41664,465,25277.4,16851.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
1998-02-28,Year1,2,22,33.7,27.86,19.6382,28,135.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5096633278766044,34285.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3043.82,0,0,11445,37632,420,22831.2,15220.8,15220.8,19064.3,34285.1,19064.3,1,11445,3043.82,0,19064.3,0,0,11445,11445,11445,0,0,0,0,0,19064.3,0.170135,0,0.283399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170135,0.22626430801248704,0.22626430801248704,0.170135,0,0
1998-03-31,Year1,3,24.4,36.4,30.4,0.653175,31,176.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3964.34,0,0,11445,41664,465,25277.4,16851.6,0,0,0,4575.43,0,3398.31,1177.12,0,0,0,0,3398.31,3398.31,3398.31,0,0,0,0,0,0,0.0505175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505175,0.0,0.0,0.0505175,0,0
1998-04-30,Year1,4,26.2,38.2,32.17,30.1301,30,186.923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.130788922087621,210608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4205.77,0,0,11445,40320,450,24462,16308,16308,194300,210608,124805,1,11445,4205.77,0,124805,69495.2,69495.2,80940.2,80940.2,24462,56478.2,0,56478.2,0,56478.2,194300,0.170135,1.03308,2.88836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20321,0.2424260442990933,0.2424260442990933,1.20321,0,0
1998-05-31,Year1,5,28.2,40.3,34.22,20.6741,31,205.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56478.2,0,4615.64,0,0,11445,41664,465,25277.4,16851.6,0,0,0,109154,1,11445,4615.64,0,0,0,0,11445,67923.2,25277.4,42645.8,0,42645.8,0,42645.8,0,0.170135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170135,0.0,0.0,0.170135,0,0
1998-06-30,Year1,6,28.1,39,33.56,55.0689,30,184.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.079172894185847,139866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42645.8,0,4159.36,0,0,11445,40320,450,24462,16308,16308,123558,139866,124805,1,11445,4159.36,0,31711.4,91846.5,91846.5,103292,145937,24462,121475,0,121475,0,121475,123558,0.170135,1.36534,1.83675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53548,0.24242604429909287,0.24242604429909287,1.53548,0,0
1998-07-31,Year1,7,25.7,34.5,30.12,94.3018,31,160.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3356899614622317,89851.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121475,0,3603.19,0,0,11445,41664,465,25277.4,16851.6,16851.6,73000.3,89851.9,124805,1,11445,3603.19,0,15604.4,57395.9,57395.9,68840.9,190316,25277.4,165039,0,165039,0,165039,73000.3,0.170135,0.853217,1.08518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02335,0.2505069124423964,0.2505069124423964,1.02335,0,0
1998-08-31,Year1,8,25.3,33,29.16,111.494,31,145.869,72.9344,0,0,72.9344,0,0,31,0,0,712,0,0,0,0,0,0,0,0,0,0,0,0,27.4445,81.0568,45.49,0,0,0,0,0,0,0.585,334025,0,0,0,0,334025,712,0,165039,0,3282.05,0,334025,11445,41664,465,25277.4,16851.6,0,0,0,109757,0,3601.89,1032.9,105122,0,0,0,3601.89,168641,25277.4,143363,143363,0,0,0,0,0.0535438,0,0,0,0.743912,65.9062,45.49,0.903637,0.62371,0,0,0,0,0,0,0,0,0.0535438,0.0,0.0,0.0535438,126.547,126.547
1998-09-30,Year1,9,24.9,32.6,28.76,251.924,30,134.166,103.308,66.1888,0,103.308,66.1888,0,30,30,0,712,0,1600,280,0,0,82.69951044159237,5.5632e+06,29.6884,43.4875,42.7331,57.3646,46.4949,11.8436,9.63948,91.4645,15.7533,55.9631,50.4355,0,0,0,0.585,144148,0.585,430858,0,0,575007,2312,280,0,3.12771e+06,3018.75,0,575007,11445,40320,450,24462,16308,16308,5.54689e+06,5.5632e+06,124805,0,2423.18,639.141,121743,124805,5.42208e+06,518400,520823,3.64853e+06,24462,3.62407e+06,453264,3.17081e+06,0,3.17081e+06,643205,0.0360217,7.70626,9.56154,0,1,103.308,91.4645,1,0.885356,66.1888,50.4355,1,0.761995,0,0,0,0,7.74228,73.1379674060639,73.1379674060639,54.2371,207.503,207.503
1998-10-31,Year1,10,23.9,31.2,27.56,276.045,31,122.335,109.707,102.604,0,109.707,102.604,0,31,31,0,712,0,1600,280,0,0,103.99921111447313,6.99603e+06,119.96,119.96,105.161,105.161,111.82,0.0708591,0,109.636,2.33439,0,100.269,0,0,0,0.585,862.421,0.585,63846.6,0,0,64709,2312,280,3.17081e+06,7.5221e+06,2752.55,0,64709,11445,41664,465,25277.4,16851.6,16851.6,6.97918e+06,6.99603e+06,124805,1,11445,2752.55,64709,124805,6.85437e+06,518400,529845,1.12227e+07,25277.4,1.11975e+07,0,1.11975e+07,3.12507e+06,8.0724e+06,643205,0.170135,7.70626,9.56154,46.4557,1,109.707,109.636,1,0.999354,102.604,100.269,1,0.977248,0,0,0,0,7.87639,94.43766807894465,140.89332082084994,73.2402,209.906,209.906
