water_year,Rain(mm),Runoff(mm),Recharge(mm),ET(mm)
1998,1011.94,265.0102651667878,132.576,1108.58
1999,575.723,23.9215534421307,36.8597,872.068
2000,1040.09,250.12778265241178,75.5581,1109.83
2001,871.271,156.8434194781023,133.378,1143.65
2002,641.057,49.29865791684574,50.7061,1000.93
2003,769.56,67.75681893737618,71.1991,981.26
2004,836.711,54.895795642286856,107.798,1107.44
2005,1020.81,251.30789575598587,146.104,1103.79
2006,1054.16,351.6806789495332,118.034,1106.13
2007,1085.44,368.3342584677511,86.8,1096.91
2008,1074.52,238.70371720432288,116.909,1258.43
2009,803.14,69.66417754932002,99.5576,1207.72
2010,1372.47,507.98870763740007,42.3299,1433.53
2011,643.46,16.02595572885795,63.7602,1043.93
2012,914.38,199.10905290003532,85.4365,1090.5
2013,985.26,171.90280815449825,99.6742,1181.16
2014,559.76,53.23917179644634,28.2015,866.027
2015,748.13,46.83097500435704,51.1425,1167.83
2016,606.77,47.02863867231466,49.3473,822.968
2017,708.05,6.747558417693455,48.6501,1034.73
