Date,%Irr_yield_Chilli,%Rf_yield_Chilli,%yield_Chilli,%Irr_yield_Tobacco,%Rf_yield_Tobacco,%yield_Tobacco,%Irr_yield_Pulses,%Rf_yield_Pulses,%yield_Pulses
1998-12-31,0.986845,0,0.986845,1,0.843622,0.97671,0,0.881099,0.881099
1999-12-31,0.949115,0,0.949115,0.944634,0.70136,0.908401,0,0.835907,0.835907
2000-12-31,0.808289,0,0.808289,0.914668,0.709186,0.884065,0,0.891851,0.891851
2001-12-31,0.776647,0,0.776647,0.980824,0.825887,0.957748,0,0.904587,0.904587
2002-12-31,0.971694,0,0.971694,0.972005,0.691019,0.930156,0,0.79311,0.79311
2003-12-31,0.71485,0,0.71485,0.910905,0.717423,0.882089,0,0.785655,0.785655
2004-12-31,0.801233,0,0.801233,0.979416,0.790066,0.951215,0,0.813785,0.813785
2005-12-31,1,0,1,1,0.805384,0.971015,0,0.905245,0.905245
2006-12-31,1,0,1,1,0.813942,0.972289,0,0.926987,0.926987
2007-12-31,1,0,1,1,0.742113,0.961591,0,0.776976,0.776976
2008-12-31,1,0,1,1,0.823299,0.973683,0,0.920482,0.920482
2009-12-31,1,0,1,1,0.868331,0.98039,0,0.973769,0.973769
2010-12-31,1,0,1,1,0.967893,0.995218,0,0.97942,0.97942
2011-12-31,1,0,1,1,0.73333,0.960283,0,0.832991,0.832991
2012-12-31,1,0,1,1,0.75405,0.963369,0,0.796032,0.796032
2013-12-31,0.919277,0,0.919277,0.987727,0.779861,0.956769,0,0.860399,0.860399
2014-12-31,0.657584,0,0.657584,0.702446,0.606717,0.688189,0,0.893942,0.893942
2015-12-31,0.626955,0,0.626955,0.864975,0.797,0.854851,0,0.964428,0.964428
2016-12-31,0.659495,0,0.659495,0.668086,0.550935,0.650638,0,0.855312,0.855312
2017-12-31,0.631469,0,0.631469,0.791932,0.654266,0.771429,0,0.749888,0.749888
