Date,Rain(mm),Runoff(mm),Recharge(mm),ET(mm),water_year
1998-01-31,2.10163,0.0,0,0,1998
1998-02-28,19.6382,0.22626430801248704,0.223862,0,1998
1998-03-31,0.653175,0.0,0,0,1998
1998-04-30,30.1301,0.2424260442990933,0.340271,0,1998
1998-05-31,20.6741,0.0,0.340271,0,1998
1998-06-30,55.0689,0.24242604429909287,0.412001,0,1998
1998-07-31,94.3018,0.2505069124423964,0.961521,0,1998
1998-08-31,111.494,0.0,0.205497,126.547,1998
1998-09-30,251.924,63.576424370535435,62.048,207.503,1998
1998-10-31,276.045,148.7421212642759,63.7063,209.906,1998
1998-11-30,147.842,50.54534291118401,0.363639,346.302,1998
1998-12-31,2.06554,0.0,0,218.324,1998
1999-01-31,1.51642,0.0,0,51.1215,1999
1999-02-28,0.853843,0.0,0,22.2075,1999
1999-03-31,5.25313,0.0,0,0,1999
1999-04-30,0.255931,0.0,0,0,1999
1999-05-31,47.5813,0.0951051479662179,0,0,1999
1999-06-30,31.0479,0.0,0,0,1999
1999-07-31,100.119,0.2505069124423951,11.1922,0,1999
1999-08-31,117.664,0.2505069124423951,16.2349,97.7834,1999
1999-09-30,62.2579,0.0,0,111.059,1999
1999-10-31,172.751,4.265299901154997,24.9753,187.374,1999
1999-11-30,33.8057,0.0,0,219.854,1999
1999-12-31,2.61692,0.0,0,182.668,1999
2000-01-31,0.05,0.0,0,45.7978,2000
2000-02-29,105.6,5.488159300626478,22.1464,33.1549,2000
2000-03-31,0,0.0,0,0,2000
2000-04-30,9.67,0.0,0,0,2000
2000-05-31,50.5,0.2505069124423964,0.340271,0,2000
2000-06-30,132.53,6.171446442931426,15.7528,0,2000
2000-07-31,154.36,51.47075692952325,24.0228,0,2000
2000-08-31,343.52,151.33742436282103,42.5512,157.784,2000
2000-09-30,69.15,0.0,0.00612603,172.099,2000
2000-10-31,100.85,0.19418893527415237,2.41889,238.621,2000
2000-11-30,53.31,0.0,0,220.465,2000
2000-12-31,20.5532,0.0,0,241.913,2000
2001-01-31,9.27498,0.0,0,61.7159,2001
2001-02-28,0.867377,0.0,0,23.7346,2001
2001-03-31,4.10459,0.0,0,0,2001
2001-04-30,67.7212,10.35111581957414,15.7528,0,2001
2001-05-31,9.57678,0.0,0.340271,0,2001
2001-06-30,38.1844,0.0,0.340271,0,2001
2001-07-31,51.0843,0.250506912442396,4.92089,0,2001
2001-08-31,113.127,0.250506912442396,10.119,108.018,2001
2001-09-30,166.008,0.2424260442990942,23.4241,178.665,2001
2001-10-31,281.983,93.10513787472425,83.3394,214.958,2001
2001-11-30,105.902,39.621814172019285,2.66075,324.759,2001
2001-12-31,23.4372,0.0,0,231.801,2001
2002-01-31,62.7945,0.2505069124423964,5.07029,104.964,2002
2002-02-28,0.863952,0.0,0,32.3088,2002
2002-03-31,5.49002,0.0,0,0,2002
2002-04-30,6.30539,0.0,0,0,2002
2002-05-31,33.3188,0.0,0,0,2002
2002-06-30,52.6066,0.0,0,0,2002
2002-07-31,43.8053,0.20130927800307832,0,0,2002
2002-08-31,104.663,0.0,0,128.708,2002
2002-09-30,43.8544,0.0,0,109.27,2002
2002-10-31,217.984,39.042872646572704,40.3369,153.815,2002
2002-11-30,69.0296,0.2424260442990933,11.8872,303.11,2002
2002-12-31,0.341813,0.0,0,168.753,2002
2003-01-31,3.24,0.0,0,49.4572,2003
2003-02-28,1.9,0.0,0,22.162,2003
2003-03-31,41.62,0.25050691244239687,1.00262,0,2003
2003-04-30,11.55,0.0,0.340271,0,2003
2003-05-31,5.36,0.0,0.340271,0,2003
2003-06-30,89.72,0.2424260442990942,15.5997,0,2003
2003-07-31,136.53,0.25050691244239687,7.92307,0,2003
2003-08-31,94.46,0.0,0.156989,101.649,2003
2003-09-30,151.65,0.9016542926625384,31.4095,148.576,2003
2003-10-31,179.47,38.6188693875408,36.5933,228.074,2003
2003-11-30,21.08,0.0,0.0199576,237.764,2003
2003-12-31,32.98,0.0,0,193.578,2003
2004-01-31,15.9318,0.0,0,67.2791,2004
